code,turkish_name,english_name,weight
1213002,Zorunlu deprem sigortası (dask),Compulsory earthquake insurance,
1214,Taşımacılık sigortası,Insurance connected with transport,"0,3542"
12141,Özel taşımacılık sigortası,Personal transport insurance,"0,3542"
1214101,Kasko ve zorunlu trafik sigortası,Motor vehicle insurance,
122,Finansal hizmetler,Financial services,"0,6458"
1222,Mevduat kabul eden kuruluşlara yapılan doğrudan ödemeler,Explicit charges by deposit-taking corporations,"0,4834"
12220,Mevduat kabul eden kuruluşlara yapılan doğrudan ödemeler,Explicit charges by deposit-taking corporations,"0,4834"
1222001,Diğer bankacılık hizmet ücretleri,Other banking service fees,
1222002,Kredi kartı yıllık aidatı,Credit card annual fee,
1229,Diğer finansal hizmetler,Other financial services,"0,1624"
12291,Havale ücretleri,Remittances fees,"0,1624"
1229101,Para transfer ücretleri,Money transfer fee,
13,"Kişisel bakım, sosyal koruma ve çeşitli mal ve hizmetler","Personal care, social protection and miscellaneous goods and services","4,4935"
131,Kişisel bakım,Personal care,"1,8720"
1311,Kişisel bakıma yönelik elektrikli aletler,Electric appliances for personal care,"0,0640"
13111,Kişisel bakıma yönelik elektrikli aletler,Purchase of electric appliances for personal care,"0,0640"
1311101,Elektrikli tıraş makinesi,Electric shaver,
1311103,Elektrikli saç bakım aletleri,Electric hair care devices,
1311104,Diğer elektrikli kişisel bakım aletleri,Other personal care appliances,
1312,"Kişisel bakıma yönelik diğer aletler, malzemeler ve ürünler","Other appliances, articles and products for personal care","1,2227"
13120,"Kişisel bakıma yönelik diğer aletler, malzemeler ve ürünler","Other appliances, articles and products for personal care","1,2227"
1312001,Tıraş bıçağı,Razor blade,
1312002,Diş fırçası,Toothbrush,
1312016,Diş macunu,Toothpaste,
1312017,El sabunu (katı ve sıvı),Hand soap,
1312018,Banyo sabunu,Bath soap,
1312019,Parfüm,Perfume,
1312020,Deodorant,Deodorant,
1312021,Kolonya,Cologne,
1312022,Diğer kişisel bakım ürünleri,Other personal care products,
1312023,Makyaj malzemeleri,Cosmetics,
1312024,Güneş kremi,Sunscreen,
1312025,Saç bakım ürünleri,Hair care products,
1312026,Tuvalet kağıdı,Toilet paper,
1312027,Diğer kağıt ürünleri,Other paper products,
1312030,Hijyenik kadın bağı,Sanitary pads,
1313,Kuaför salonları ve kişisel bakım merkezleri,Hairdressing salons and personal grooming establishments,"0,5853"
13131,Kuaförlük hizmetleri,Hairdressing,"0,3928"
1313101,Erkek berberi hizmetleri,Men’s barber service,
1313102,Kadın kuaförü hizmetleri,Women’s hairdresser service,
13132,Kişisel bakım hizmetleri,Personal grooming treatments,"0,1925"
1313202,Kişisel bakım hizmetleri (kadın için),Personal care services (for woman),
132,Diğer kişisel eşyalar,Other personal effects,"1,0940"
1321,Mücevherat ve kol saatleri,Jewellery and watches,"0,4489"
13211,Mücevherat ve kol saatleri,Purchase of jewellery and watches,"0,4489"
1321101,Mücevher (altın),Jewellery (gold),
1321105,Kol saati,Wristwatch,
1329,Başka yerde sınıflandırılmamış diğer kişisel eşyalar,Other personal effects n.e.c.,"0,6451"
13291,"Başka yerde sınıflandırılmamış seyahat eşyaları, bebekler için malzemeler ve diğer kişisel eşyalar","Travel goods, baby articles and other personal effects n.e.c.","0,6451"
1329101,Seyahat eşyaları,Travel goods,
1329104,Kadın çantası,Women’s handbag,
1329106,Okul çantası,School bag,
1329111,Güneş gözlükleri,Sunglasses,
1329114,Bebek arabası,Baby stroller,
1329129,Bebek bezi,Baby diapers,
133,Sosyal koruma,Social protection,"0,3517"
1330,Sosyal koruma,Social protection,"0,3517"
13301,Çocuk bakım hizmetleri,Childcare services,"0,3517"
1330101,Kreş ve gündüz bakım hizmeti,Daycare and nursery services,
139,Diğer hizmetler,Other services,"1,1758"
1390,Diğer hizmetler,Other services,"1,1758"
13902,Dini hizmetler,Religious services,"0,4022"
1390208,Hac ücreti (Diyanet İşleri Başkanlığı paket fiyatı),Hajj package fee (Presidency of Religious Affairs of Türkiye),
13909,Başka yerde sınıflandırılmamış diğer hizmetler,Other services n.e.c.,"0,7737"
1390901,Noter ücreti,Notary fee,
1390902,Otomobil ekspertiz ücreti,Vehicle inspection and expertise fee,
1390903,Hukuki hizmetler,Legal services,
1390906,Diğer hizmetler için ödemeler,Other miscellaneous services,
