product_id,price,category,tuik_code
9608,599.0,Sentetik ve selülozik boya,05
3690,950.0,Sentetik ve selülozik boya,05
6882,285.0,Banyo aksesuarları,05
1410,504.0,Objeler,05
1412,306.0,Objeler,05
1414,408.0,Objeler,05
1411,504.0,Objeler,05
2625,550.0,Seramik boyası,05
8318,185.0,Fayans çıtası,05
12922,100.0,Fayans çıtası,05
8266,475.0,Fayans çıtası,05
8319,200.0,Fayans çıtası,05
4634,75.0,Fayans çıtası,05
14815,90.0,Fayans çıtası,05
14400,100.0,Fayans çıtası,05
9652,100.0,Fayans çıtası,05
8275,219.0,Fayans çıtası,05
10783,139.0,Fayans çıtası,05
10784,139.0,Fayans çıtası,05
8272,139.0,Fayans çıtası,05
8270,139.0,Fayans çıtası,05
4633,100.0,Fayans çıtası,05
8314,235.0,Fayans çıtası,05
8315,300.0,Fayans çıtası,05
8274,149.0,Fayans çıtası,05
8273,149.0,Fayans çıtası,05
14169,32.5,Bilinmeyen,05
9654,40.0,Bilinmeyen,05
8316,425.0,Fayans çıtası,05
8268,225.0,Fayans çıtası,05
8317,439.0,Fayans çıtası,05
8269,230.0,Fayans çıtası,05
9650,180.0,Fayans çıtası,05
14814,85.0,Fayans çıtası,05
9658,264.0,Fayans çıtası,05
14813,79.0,Fayans çıtası,05
15042,6100.0,Seramik kesme,05
7570,5900.0,Seramik kesme,05
8135,2650.0,Seramik kesme,05
15043,120.0,Seramik kesme,05
8754,175.0,Seramik kesme,05
11935,450.0,Seramik kesme,05
7571,475.0,Seramik kesme,05
14663,250.0,Testere ve kesiciler,05
12265,600.0,Seramik kesme,05
12266,550.0,Seramik kesme,05
13362,15900.0,Seramik kesme,05
7993,3350.0,Testere ve kesiciler,05
8789,215.0,Mala ve sıvacı aletleri,05
12172,275.0,Mala ve sıvacı aletleri,05
8791,250.0,Bilinmeyen,05
8820,225.0,Bilinmeyen,05
8790,250.0,Mala ve sıvacı aletleri,05
8823,275.0,Mala ve sıvacı aletleri,05
8824,525.0,Mala ve sıvacı aletleri,05
12171,650.0,Mala ve sıvacı aletleri,05
12173,525.0,Mala ve sıvacı aletleri,05
1989,20.0,Seramik ve Granit Yapıştırıcılar,05
1969,199.0,Seramik ve Granit Yapıştırıcılar,05
1988,15.0,Seramik ve granit yapıştırıcılar,05
7758,2500.0,Seramik yünü,05
7759,2750.0,Seramik yünü,05
13804,125.0,Şerit led ve aksesuarları,05
13649,264.0,Şerit led ve aksesuarları,05
1751,45.0,Şerit led ve aksesuarları,05
9515,290.0,Şerit led ve aksesuarları,05
9514,285.0,Şerit led ve aksesuarları,05
9512,285.0,Şerit led ve aksesuarları,05
9517,535.0,Şerit led ve aksesuarları,05
9513,285.0,Şerit led ve aksesuarları,05
9516,535.0,Şerit led ve aksesuarları,05
14895,219.0,Şerit led ve aksesuarları,05
14894,145.0,Şerit led ve aksesuarları,05
14896,295.0,Şerit led ve aksesuarları,05
14897,365.0,Şerit led ve aksesuarları,05
14893,110.0,Şerit led ve aksesuarları,05
370,132.0,Şerit led ve aksesuarları,05
371,224.9,Şerit led ve aksesuarları,05
372,374.4,Şerit led ve aksesuarları,05
373,440.7,Şerit led ve aksesuarları,05
374,486.2,Şerit led ve aksesuarları,05
13963,135.0,Metre gönye kumpas,05
5288,119.0,Metre gönye kumpas,05
13601,114.0,Mala ve sıvacı aletleri,05
2688,100.0,Sofra grubu,05
9488,80.0,Tv anteni uydu alıcısı ve aksesuarları,05
9464,95.0,Tv anteni uydu alıcısı ve aksesuarları,05
6573,16.0,Mobilya ayak ve aksesuarları,05
9917,450.0,Isı ve ses yalıtım bantları,05
9915,375.0,Isı ve ses yalıtım bantları,05
9916,400.0,Isı ve ses yalıtım bantları,05
9456,105.0,Tornavida kontrol kalemi,05
11060,650.0,Uzatma kabloları ve makaralı kablolar,05
13660,1710.0,Projektör baladoz,05
10227,1700.0,Şezlonglar,05
10221,3900.0,Şezlonglar,05
8799,56.25,Bantlar,05
8907,149.0,Mala ve sıvacı aletleri,05
8866,43.75,Fırça rulo sap,05
8875,250.0,Fırça rulo sap,05
8904,149.0,Mala ve sıvacı aletleri,05
11676,250.0,Taharet musluğu,05
906,579.0,Alçıpan ve alçıpan profil aksesuarları,05
4667,120.0,Çiviler,05
12754,120.0,Çiviler,05
4665,120.0,Çiviler,05
4668,120.0,Çiviler,05
12586,1119.25,Shingle,05
1568,1119.25,Shingle,05
1569,1119.25,Shingle,05
1570,1119.25,Shingle,05
1556,1046.65,Shingle,05
1554,1046.65,Shingle,05
1555,1046.65,Shingle,05
1551,877.25,Shingle,05
1552,877.25,Shingle,05
7628,125.0,Shingle,05
7629,125.0,Shingle,05
7627,125.0,Shingle,05
3256,150.0,"SHOCK OUT MAXİ KARINCA KENE SPREY 450 ML, DUAL, Haşere böcek",05
13934,399.0,Yangın söndürme tüpleri,05
4413,370.0,Tesisat malzemeleri,05
12967,499.0,Kamp malzemeleri,09
12484,675.0,Kamp malzemeleri,09
14338,900.0,Isı tabancaları,05
11194,1150.0,Isı tabancaları,05
12880,1100.0,Ölçüm cihazları,05
14447,435.0,Kilit sürgü mavzer,05
9821,37.5,Sifon ve süzgeç,05
10002,215.0,Sifon Süzgeç Duş Kanalı,05
13769,479.0,Sifon ve süzgeç,05
11779,30.0,Sifon ve süzgeç,05
11780,39.0,Sifon ve süzgeç,05
5110,325.0,Sifon ve süzgeç,05
9819,50.7,Sifon ve süzgeç,05
13490,60.0,Sifon Süzgeç Duş Kanalı,05
5108,300.0,Sifon ve süzgeç,05
5109,129.0,Sifon ve süzgeç,05
5111,25.0,Sifon ve süzgeç,05
13383,69.0,Sifon ve süzgeç,05
13670,180.0,Elektrik tesisat malzemeleri,05
13654,252.0,Sigortalar ve kutuları,05
828,399.0,"SİLAH TEMİZLEME YAĞ SETİ 3 LÜ, ATEF OUTDOOR, Temizlik ve bakım",05
8982,70.8,Silikon mastik PU köpük,05
8510,119.0,Silikon mastik PU köpük,05
8975,70.8,Silikon mastik PU köpük,05
13097,19.5,Silikon tabancaları,05
12875,7.5,Silikon tabancaları,05
3576,10.0,Silikon tabancaları,05
5404,350.0,WİNBOSS,05
3577,425.0,Silikon tabancaları,05
7743,1100.0,Silikon tabancaları,05
8967,139.0,Silikon mastik PU köpük,05
10816,119.0,Silikon mastik PU köpük,05
8518,89.0,Silikon mastik PU köpük,05
8981,70.8,Silikon mastik PU köpük,05
12906,169.0,Silikon tabancaları,05
14772,150.0,Silikon tabancaları,05
14245,59.0,Silikon tabancaları,05
12925,125.0,Silikon tabancaları,05
11830,50.0,Silikon tabancaları,05
14480,800.0,Silikon tabancaları,05
12943,59.0,Silikon mastik PU köpük,05
11052,7.5,Parke altı döşeme malzemeleri,05
9389,16.5,Parke altı döşeme malzemeleri,05
9386,55.0,Şilte,05
11046,22.5,Şilte,05
11048,80.0,Şilte,05
9390,75.0,Şilte,05
9385,25.0,Şilte,05
11049,95.0,Şilte,05
11047,97.5,Şilte,05
9384,7.5,Parke altı döşeme malzemeleri,05
11376,350.0,Işıldak ve kamp lambası,09
2720,75.0,Sinek teli,05
2724,100.0,Sinek teli,05
2725,75.0,Sinek teli,05
6491,18.0,Kapı ve pencere aksesuarları,05
6492,9.0,Kapı ve pencere aksesuarları,05
6494,9.0,Kapı ve pencere aksesuarları,05
7044,360.0,Sineklik,05
6495,9.0,Kapı ve pencere aksesuarları,05
6459,10.0,Menteşeler,05
7043,145.0,Sineklik,05
6493,8.0,Kapı ve pencere aksesuarları,05
9408,65.0,Elektrik tesisat malzemeleri,05
9406,65.0,Bilinmeyen,05
9405,65.0,Bilinmeyen,05
9407,65.0,Bilinmeyen,05
3854,850.0,Fırça rulo sap,05
10910,216.0,Fırça rulo sap,05
10912,348.0,Fırça rulo sap,05
12016,91.0,Mangal aksesuarları,05
901,148.0,Harç sıva ve yapıştırıcılar,05
12361,21.0,Darkss Sıva Filesi,05
12491,21.0,Darkss Sıva Filesi,05
3348,38.0,Sıva filesi,05
1710,50.0,Sıva filesi,05
2002,15.0,Darkss Sıva Filesi,05
12739,324.0,Mala ve sıvacı aletleri,05
14633,219.0,Mala ve sıvacı aletleri,05
2117,336.0,Mala ve sıvacı aletleri,05
2118,366.0,Mala ve sıvacı aletleri,05
12738,378.0,Bilinmeyen,05
2119,245.0,Bilinmeyen,05
2120,390.0,Bilinmeyen,05
8444,225.0,Bilinmeyen,05
8445,250.0,Bilinmeyen,05
637,175.5,Bilinmeyen,05
5278,107.84,Bilinmeyen,05
638,188.5,Bilinmeyen,05
13488,125.0,Bilinmeyen,05
639,201.5,Bilinmeyen,05
2125,375.0,Bilinmeyen,05
13142,150.0,Bilinmeyen,05
12407,153.4,Silikon mastik PU köpük,05
8490,185.0,Silikon mastik PU köpük,05
14616,79.0,Silikon mastik PU köpük,05
14617,79.0,Silikon mastik PU köpük,05
14618,79.0,Silikon mastik PU köpük,05
1282,75.0,Sabunluk ve banyo setleri,05
1283,149.0,Sabunluk ve banyo setleri,05
2873,346.0,Fayans seramik granit taş,05
2874,346.0,Fayans seramik granit taş,05
10669,129.0,Yapıştırıcılar,05
9467,120.0,Tv anteni uydu alıcısı ve aksesuarları,05
9435,125.0,Tv anteni uydu alıcısı ve aksesuarları,05
13675,72.0,Floresan ve led paneller,05
13676,78.0,Floresan ve led paneller,05
14915,60.0,Kürekler,05
10099,75.0,Kürekler,05
6392,21.0,Mobilya ayak ve aksesuarları,05
12666,124.0,Mobilya ayak ve aksesuarları,05
6393,49.0,Mobilya ayak ve aksesuarları,05
5504,2750.0,Banyo dolapları,05
5448,23650.0,Banyo dolapları,05
5449,16600.0,Banyo dolapları,05
12419,475.0,Işıldak ve kamp lambası,09
11382,125.0,Solar aydınlatma ve fenerler,05
8441,525.0,Manivela Sökü demiri,05
8442,775.0,Manivela Sökü demiri,05
8438,245.0,Manivela Sökü demiri,05
8437,465.0,Manivela Sökü demiri,05
8449,2470.0,Manivela Sökü demiri,05
13828,736.0,Fayans seramik granit taş,05
13829,736.0,Fayans seramik granit taş,05
14917,19900.0,Döküm şömine ve sobalar,05
10630,22900.0,Döküm şömine ve sobalar,05
10633,29900.0,Döküm şömine ve sobalar,05
10634,26750.0,Döküm şömine ve sobalar,05
10629,17900.0,Döküm şömine ve sobalar,05
10632,32500.0,Döküm şömine ve sobalar,05
12608,32500.0,Döküm şömine ve sobalar,05
12455,34500.0,Döküm şömine ve sobalar,05
12457,39900.0,Döküm şömine ve sobalar,05
12456,39900.0,Döküm şömine ve sobalar,05
10636,39900.0,Döküm şömine ve sobalar,05
12896,39900.0,Döküm şömine ve sobalar,05
12458,39900.0,Döküm şömine ve sobalar,05
6565,9.0,Civata ve somunlar,05
9273,234.0,Civata ve somunlar,05
9275,234.0,Civata ve somunlar,05
9271,234.0,Civata ve somunlar,05
9272,234.0,Vidalar,05
