2026-09-21 07:38:47 [INFO] ==================================================
2026-09-21 07:38:47 [INFO] Yapimaks Scraper basliyor (async)
2026-09-21 07:38:47 [INFO] ==================================================
2026-09-21 07:38:47 [INFO] Parametreler: workers=8, rate=0.8/sn, max_duration=300 dk
2026-09-21 07:38:47 [INFO] Ana sayfa ziyaret ediliyor, cookie aliniyor...
2026-09-21 07:38:48 [INFO] Cookie basariyla alindi.
2026-09-21 07:38:48 [INFO] Sitemap indiriliyor: https://yapimaks.com/sitemap/products1.xml
2026-09-21 07:38:49 [INFO] Sitemap'ten toplam 8389 urun URL'si bulundu.
2026-09-21 07:38:49 [INFO] Dunun dosyasi: 2026-09-20.csv
2026-09-21 07:38:49 [INFO] Dunun dosyasinda 8594 urun var.
2026-09-21 07:38:49 [INFO] GUNLUK BUTCE: 1224 urun aday — hepsi bu koşuda tazelenir.
2026-09-21 07:38:49 [INFO] Tasinacak (degismeyen) urun: 8594 | Yeniden cekilecek: 1224
2026-09-21 07:40:08 [INFO] [10625] 'TİNER SENTETİK FLORA 3/1 (1925ML)' | 325.00 TL | SKU: KARDELEN.041
2026-09-21 07:40:09 [INFO] [354] 'METRE ŞERİT RTH12113 STOPLU 5X25 MM RTRM' | 165.00 TL | SKU: RTRMAX.RTH12113
2026-09-21 07:40:11 [INFO] [13511] 'BAHÇE TELİ  GLV 200CM*20MT*2.2M*5,5*5,5 ' | 4000.00 TL | SKU: BAHÇE.TEL.009
2026-09-21 07:40:12 [INFO] [15799] 'TREND 65 CM ÜST AYNA KOYU GRİ' | 3450.00 TL | SKU: LINEART.143
2026-09-21 07:40:13 [INFO] [15397] 'İMAGİNE AÇIK GRİ 60X120 2K MAT REK (2,16' | 1134.00 TL | SKU: EGESER.600X1200IMA57REK.2K
2026-09-21 07:40:14 [INFO] [15804] 'SUNTA VİDASI 4x50 AKDENİZ (500)' | 325.00 TL | SKU: AKDENİZ.VSUN450
2026-09-21 07:40:16 [INFO] [15767] 'PRİZ TOPRAKLI İKİLİ BEYAZ KARRE/MERIDIAN' | 170.00 TL | SKU: VİKO.90967056
2026-09-21 07:40:17 [INFO] [15802] 'ORLANDO GRİ 60X120 1K TAM PARLAK (1,44M2' | 1062.72 TL | SKU: EGESER.600X1200ORL03PAR.1K
2026-09-21 07:40:18 [INFO] [15801] 'SUNTA VİDASI 5x120 AKDENİZ (100)' | 325.00 TL | SKU: AKDENİZ.VSUN5120
2026-09-21 07:40:19 [INFO] [15805] 'SUNTA VİDASI 5x40 AKDENİZ (200)' | 150.00 TL | SKU: AKDENİZ.VSUN540
2026-09-21 07:40:21 [INFO] [5907] 'ÇELİK DÜBEL GÖMLEKLİ 8x55 MM 1 AD' | 6.00 TL | SKU: STD.910959800
2026-09-21 07:40:22 [INFO] [13074] 'ÇELİK DÜBEL KLİPSLİ 20x200 mm 1 AD' | 105.00 TL | SKU: STD.978929800
2026-09-21 07:40:23 [INFO] [15803] 'SUNTA VİDASI 4x30 STD (500)' | 225.00 TL | SKU: STD.900012700
2026-09-21 07:40:24 [INFO] [15814] 'MATKAP UÇLU VİDA SİYAH RYSB 3.9x16 (2000' | 1150.00 TL | SKU: STD.120018900
2026-09-21 07:40:26 [INFO] [5087] 'TRİFONLU KELEPÇE (1 1/2) 50 LİK' | 27.50 TL | SKU: TRF.KELEPÇE.050
2026-09-21 07:40:27 [INFO] [15815] 'AQUA RENO MUTFAK BEYAZ RENOVASYON BOYASI' | 1100.00 TL | SKU: FİLLİ.RENO.3000.2516.11.00001
2026-09-21 07:40:28 [INFO] [14783] 'ÇİFT TARAFLI KÖPÜK BANT 24MMX2M KAVİ' | 15.00 TL | SKU: KAVİ.STK08002
