kategori,product_name,product_price
"Süt, Kahvaltılık, Sark.",Gürsüt Köy Taze Beyaz Peynir 500 Gr,"199,90"
"Süt, Kahvaltılık, Sark.",Gürsüt Krem Peynir 300 Gr,"99,90"
"Süt, Kahvaltılık, Sark.",Gürsüt Lor Peyniri 500 Gr,"79,90"
"Süt, Kahvaltılık, Sark.",Gürsüt Örgü Peyniri - 500 Gr.,"249,95"
"Süt, Kahvaltılık, Sark.",Gürsüt Örme Peyniri 200Gr,"119,90"
"Süt, Kahvaltılık, Sark.",Gürsüt Otlu Peynir - 500 Gr.,"199,95"
"Süt, Kahvaltılık, Sark.",Gürsüt Pazar Kahvaltısı 200 Gr,"119,90"
"Süt, Kahvaltılık, Sark.",Gürsüt Rende Mozeralla Peyniri 150 gr,"89,90"
"Süt, Kahvaltılık, Sark.",Gürsüt Süzme Yoğurt - 500 Gr.,"99,95"
"Süt, Kahvaltılık, Sark.",Gürsüt Tadım Beyaz Peynir - 350 Gr.,"115,47"
"Süt, Kahvaltılık, Sark.",Gürsüt Taze Kaşar Peyniri 500Gr,"249,90"
"Süt, Kahvaltılık, Sark.",Gürsüt Tost Peyniri 600 Gr,"259,90"
"Süt, Kahvaltılık, Sark.",Gürsüt Yayık Tereyağ - 500 Gr.,"349,95"
"Süt, Kahvaltılık, Sark.",Gürsüt Yayık Tereyağ 500 Gr,"349,95"
"Süt, Kahvaltılık, Sark.",Halis Antep Fıstıklı Hurma Suyu İle Tatlandırılmış Üçgen Tahin Helva 300 Gr,"350,00"
"Süt, Kahvaltılık, Sark.",Halis Antep Fıstıklı Tahin Helva - 500 Gr.,"305,00"
"Süt, Kahvaltılık, Sark.",Halis Antep Fıstıklı Üçgen Tahin Helva 500 Gr,"350,00"
"Süt, Kahvaltılık, Sark.",Halis Hünkar Susamlı Tepsi Helvası - 500 Gr.,"174,95"
"Süt, Kahvaltılık, Sark.",Halis Kakaolu Üçgen Tahin Helva 500 Gr,"199,90"
"Süt, Kahvaltılık, Sark.",Halis Sade Hurma Suyu İle Tatlandırılmış Üçgen Tahin Helva 300 Gr,"199,90"
"Süt, Kahvaltılık, Sark.",Halis Sade Tahin Helva - 500 Gr.,"154,95"
"Süt, Kahvaltılık, Sark.",Halis Sade Üçgen Tahin Helva 500 Gr,"199,90"
"Süt, Kahvaltılık, Sark.",Halis Tahin 600 Gr,"215,00"
"Süt, Kahvaltılık, Sark.",Halis Üzüm Pekmezi 800 Gr,"185,00"
"Süt, Kahvaltılık, Sark.",Hünnap Glutensiz İnce Kıyım Yulaf Ezmesi 300 Gr,"109,95"
"Süt, Kahvaltılık, Sark.",Hünnap Glutensiz Yulaf Ezmesi 300 Gr,"109,95"
"Süt, Kahvaltılık, Sark.",Hüseyin Usta Adıyaman Etsiz Çiğ Köfte 500 Gr,"85,00"
