product_name,product_price
Gürsüt Dil Peyniri - 500 Gr._1kg,"(439,90 / Kg)"
Gürsüt Dilim Peyniri 200Gr,"119,90"
Gürsüt Dilimli Kahvaltı Lezzetim 250Gr,"139,90"
Gürsüt İzmir Tulum Peyniri 200 Gr,"159,90"
Gürsüt Jersey Pastörize Günlük Süt 3 lt,"299,90"
Gürsüt Kahvaltı Lezzetim - 500 Gr._1kg,"(499,90 / Kg)"
Gürsüt Kahvaltı Lezzetim 1000Gr,"499,90"
Gürsüt Kahvaltı Lezzetim 250Gr,"139,90"
Gürsüt Kahvaltı Lezzetleri Çeçil Peyniri 200 gr,"119,90"
Gürsüt Klasik Beyaz Peynir 300 Gr,"199,90"
Gürsüt Köy Taze Beyaz Peynir - 500 Gr._1kg,"(379,90 / Kg)"
Gürsüt Köy Taze Beyaz Peynir 500 Gr,"169,90"
Gürsüt Krem Peynir 300 Gr,"119,90"
Gürsüt Lor Peyniri 500 Gr,"79,90"
Gürsüt Mini Dilim 200 Gr,"99,90"
Gürsüt Mini Örgüm 200 Gr,"99,90"
Gürsüt Örgü Peyniri - 500 Gr._1kg,"(439,90 / Kg)"
Gürsüt Örme Peyniri 200Gr,"119,90"
Gürsüt Otlu Peynir - 500 Gr._1kg,"(399,90 / Kg)"
Gürsüt Pazar Kahvaltısı 200 Gr,"119,90"
Gürsüt Rende Mozeralla Peyniri 150 gr,"89,90"
Gürsüt Süzme Yoğurt - 500 Gr._1kg,"(169,90 / Kg)"
Gürsüt Tadım Beyaz Peynir - 500 Gr._1kg,"(329,90 / Kg)"
Gürsüt Tost Peyniri 600 Gr,"259,90"
Gürsüt Yayık Tereyağ - 500 Gr._1kg,"(599,90 / Kg)"
Gürsüt Yayık Tereyağ 500 Gr,"299,95"
Halis Antep Fıstıklı Hurma Suyu İle Tatlandırılmış Üçgen Tahin Helva 300 Gr,"315,90"
Halis Antep Fıstıklı Tahin Helva - 500 Gr._1kg,"(439,92 / Kg)"
Halis Antep Fıstıklı Üçgen Tahin Helva 500 Gr,"329,90"
Halis Hünkar Susamlı Tepsi Helvası - 500 Gr._1kg,"(259,90 / Kg)"
Halis Kakaolu Tahin Helvası - 500 Gr._1kg,"(207,92 / Kg)"
Halis Kakaolu Üçgen Tahin Helva 500 Gr,"174,90"
Halis Sade Hurma Suyu İle Tatlandırılmış Üçgen Tahin Helva 300 Gr,"169,90"
Halis Sade Tahin Helva - 500 Gr._1kg,"(207,92 / Kg)"
Halis Sade Üçgen Tahin Helva 500 Gr,"174,90"
Halis Tahin 600 Gr,"199,90"
Halis Üzüm Pekmezi 800 Gr,"155,90"
Hünnap Glutensiz İnce Kıyım Yulaf Ezmesi 300 Gr,"109,95"
Hünnap Glutensiz Yulaf Ezmesi 300 Gr,"109,95"
Hünnap Good Keçi Sütlü Çikolatalı Gevrek 240 Gr,"129,95"
Hüseyin Usta Adıyaman Etsiz Çiğ Köfte 500 Gr,"85,00"
Hüseyin Usta Adıyaman Etsiz Çiğ Köfte Dürüm 180 Gr,"39,00"
İçim Beyaz İnek Peyniri 500 Gr,"169,90"
İçim Çikolatalı Pastörize Süt 1 Lt,"99,90"
İçim Çilekli Kefir 1 Lt,"99,95"
İçim Dilimli Burger Peyniri 200 Gr,"139,95"
İçim Dilimli Kaşar Peyniri 500 Gr,"249,90"
İçim Doğal Yoğurt 500 Gr,"49,95"
İçim Dolcia Çikolatalı Puding 4*60 Gr,"49,95"
İçim Dolcia Çilekli Puding 4*60 Gr,"49,95"
İçim Dolcia Muzlu Puding 4*60 Gr,"49,95"
İçim Fit Yüksek Proteinli Çilekli Süt 400 Ml,"64,95"
İçim Fit Yüksek Proteinli Kahveli Süt 400 Ml,"64,95"
İçim Fit Yüksek Proteinli Vanilyalı Süt 400 Ml,"64,95"
İçim İçimino Çikolatalı Süt 180 Ml,"18,90"
İçim İçimino Çilekli Süt 180 Ml,"18,90"
İçim İçimino Muzlu Süt 180 Ml,"18,90"
İçim Kaşar Peyniri 600 Gr,"319,95"
