tarih,kategori,product_name,product_price,eski_fiyat,url
2026-02-24,Et ve Tavuk,Cumhuriyet Küvet Sucuk 300 Gr,"659,90",,https://www.gurmar.com.tr/cumhuriyet-kuvet-sucuk-300-gr-26461-p
2026-02-24,Et ve Tavuk,Dana Antrikot - 500 Gr.,"799,95",,https://www.gurmar.com.tr/dana-antrikot-500-gr-11945-p
2026-02-24,Et ve Tavuk,Dana Bonfile - 500 Gr.,"1.199,95",,https://www.gurmar.com.tr/dana-bonfile-500-gr-6696-p
2026-02-24,Et ve Tavuk,Dana Haşlamalık Et - 500 Gr.,"559,95",,https://www.gurmar.com.tr/dana-haslamalik-et-500-gr-3221-p
2026-02-24,Et ve Tavuk,Dana İşkembe - 500 Gr.,"99,95",,https://www.gurmar.com.tr/dana-iskembe-500-gr-6678-p
2026-02-24,Et ve Tavuk,Dana Kol Kuşbaşı - 500 Gr.,"539,95",,https://www.gurmar.com.tr/dana-kol-kusbasi-500-gr-6711-p
2026-02-24,Et ve Tavuk,Dana Kol Kuşbaşı Kıymalık - 500 Gr.,"539,95",,https://www.gurmar.com.tr/dana-kol-kusbasi-kiymalik-500-gr-31655-p
2026-02-24,Et ve Tavuk,Dana Kontrfile - 500 Gr.,"749,95",,https://www.gurmar.com.tr/dana-kontrfile-500-gr-6697-p
2026-02-24,Et ve Tavuk,Dana Kuşbaşı Kıymalık - 500 Gr.,"469,95",,https://www.gurmar.com.tr/dana-kusbasi-kiymalik-500-gr-3039-p
2026-02-24,Et ve Tavuk,Dana Kuzu Kıymalık (%80 Dana+%20 Ku - 500 Gr.,"469,95",,https://www.gurmar.com.tr/dana-kuzu-kiymalik-80-dana-20-ku-500-gr-30103-p
2026-02-24,Et ve Tavuk,Dana Nuar - 500 Gr.,"559,95",,https://www.gurmar.com.tr/dana-nuar-500-gr-827-p
2026-02-24,Et ve Tavuk,Dana Rosto - 500 Gr.,"549,95",,https://www.gurmar.com.tr/dana-rosto-500-gr-6699-p
2026-02-24,Et ve Tavuk,Dana Rulo Kıymalık - 500 Gr.,"399,95",,https://www.gurmar.com.tr/dana-rulo-kiymalik-500-gr-11946-p
2026-02-24,Et ve Tavuk,Dana Sote - 500 Gr.,"589,95",,https://www.gurmar.com.tr/dana-sote-500-gr-828-p
2026-02-24,Et ve Tavuk,Erpiliç Baget - 1 Kg.,"159,90",,https://www.gurmar.com.tr/erpilic-baget-1-kg-16716-p
2026-02-24,Et ve Tavuk,Erpiliç Bonfile - 1 Kg.,"219,90","289,90",https://www.gurmar.com.tr/erpilic-bonfile-1-kg-16720-p
2026-02-24,Et ve Tavuk,Erpiliç But - 1 Kg.,"129,90",,https://www.gurmar.com.tr/erpilic-but-1-kg-16715-p
2026-02-24,Et ve Tavuk,Erpiliç But Izgara - 1 Kg.,"289,90",,https://www.gurmar.com.tr/erpilic-but-izgara-1-kg-16717-p
2026-02-24,Et ve Tavuk,Erpiliç Göğüs - 1 Kg.,"169,90",,https://www.gurmar.com.tr/erpilic-gogus-1-kg-16719-p
2026-02-24,Et ve Tavuk,Erpiliç Izgara Kanat - 1 Kg.,"299,90",,https://www.gurmar.com.tr/erpilic-izgara-kanat-1-kg-16721-p
2026-02-24,Et ve Tavuk,Erpiliç Pirzola - 1 Kg.,"199,90",,https://www.gurmar.com.tr/erpilic-pirzola-1-kg-16718-p
2026-02-24,Et ve Tavuk,Erpiliç Schnitzel 300 Gr,"89,90",,https://www.gurmar.com.tr/erpilic-schnitzel-300-gr-2812-p
2026-02-24,Et ve Tavuk,Erpiliç Tabaklı Cordon Blue 300 Gr,"99,90",,https://www.gurmar.com.tr/erpilic-tabakli-cordon-blue-300-gr-2867-p
2026-02-24,Et ve Tavuk,Erpiliç Üst Kanat - 1 Kg.,"189,90",,https://www.gurmar.com.tr/erpilic-ust-kanat-1-kg-16723-p
2026-02-24,Et ve Tavuk,Fümechef Cotto Dana,"399,90",,https://www.gurmar.com.tr/fumechef-cotto-dana-37509-p
2026-02-24,Et ve Tavuk,Fümechef Sade Roastbeef Dana,"399,90",,https://www.gurmar.com.tr/fumechef-sade-roastbeef-dana-37508-p
2026-02-24,Et ve Tavuk,Gürmar Dana Kangal Sucuk - 500 Gr.,"849,95",,https://www.gurmar.com.tr/gurmar-dana-kangal-sucuk-500-gr-12124-p
2026-02-24,Et ve Tavuk,Hastavuk Bütün Piliç - 2 Kg.,"259,80",,https://www.gurmar.com.tr/hastavuk-butun-pilic-2-kg-37976-p
2026-02-24,Et ve Tavuk,Hastavuk Piliç Ba - 1 Kg.,"139,90",,https://www.gurmar.com.tr/hastavuk-pilic-ba-1-kg-37974-p
2026-02-24,Et ve Tavuk,Hastavuk Piliç Bonfile(File - 1 Kg.,"219,00","259,90",https://www.gurmar.com.tr/hastavuk-pilic-bonfile-file-1-kg-37972-p
2026-02-24,Et ve Tavuk,Hastavuk Piliç But Izgara(Izgara Ta - 1 Kg.,"249,90",,https://www.gurmar.com.tr/hastavuk-pilic-but-izgara-izgara-ta-1-kg-37978-p
2026-02-24,Et ve Tavuk,Hastavuk Piliç But Ka - 1 Kg.,"169,90",,https://www.gurmar.com.tr/hastavuk-pilic-but-ka-1-kg-37977-p
2026-02-24,Et ve Tavuk,Hastavuk Piliç Izgaralık Ka - 1 Kg.,"279,90",,https://www.gurmar.com.tr/hastavuk-pilic-izgaralik-ka-1-kg-37981-p
2026-02-24,Et ve Tavuk,Hastavuk Piliç Kalçalı  - 1 Kg.,"119,90",,https://www.gurmar.com.tr/hastavuk-pilic-kalcali-1-kg-37973-p
2026-02-24,Et ve Tavuk,Hastavuk Piliç Parmak Bonf - 1 Kg.,"219,00",,https://www.gurmar.com.tr/hastavuk-pilic-parmak-bonf-1-kg-37984-p
2026-02-24,Et ve Tavuk,HasTavuk Roaster Tavuk - 1 Kg.,"89,90",,https://www.gurmar.com.tr/hastavuk-roaster-tavuk-1-kg-38184-p
2026-02-24,Et ve Tavuk,Kuzu Ayak Adet,"29,90",,https://www.gurmar.com.tr/kuzu-ayak-adet-14384-p
2026-02-24,Et ve Tavuk,Kuzu Böbrek Yatağı - 500 Gr.,"484,95",,https://www.gurmar.com.tr/kuzu-bobrek-yatagi-500-gr-2423-p
2026-02-24,Et ve Tavuk,"Kuzu But - 2,5 Kg.","2.374,75",,https://www.gurmar.com.tr/kuzu-but-2-5-kg-6631-p
2026-02-24,Et ve Tavuk,"Kuzu But İnciksiz - 2,5 Kg.","2.424,75",,https://www.gurmar.com.tr/kuzu-but-inciksiz-2-5-kg-23232-p
2026-02-24,Et ve Tavuk,"Kuzu But Tandır - 1,5 Kg.","1.829,85",,https://www.gurmar.com.tr/kuzu-but-tandir-1-5-kg-830-p
2026-02-24,Et ve Tavuk,Kuzu Ciğeri - 1 Kg.,"1.099,90",,https://www.gurmar.com.tr/kuzu-cigeri-1-kg-6610-p
2026-02-24,Et ve Tavuk,Kuzu Gerdan - 500 Gr.,"429,95",,https://www.gurmar.com.tr/kuzu-gerdan-500-gr-1533-p
2026-02-24,Et ve Tavuk,Kuzu İncik - 500 Gr.,"559,95",,https://www.gurmar.com.tr/kuzu-incik-500-gr-841-p
2026-02-24,Et ve Tavuk,Kuzu Kaburga - 500 Gr.,"424,95",,https://www.gurmar.com.tr/kuzu-kaburga-500-gr-4744-p
2026-02-24,Et ve Tavuk,Kuzu Kavurmalık - 500 Gr.,"579,95",,https://www.gurmar.com.tr/kuzu-kavurmalik-500-gr-11947-p
2026-02-24,Et ve Tavuk,"Kuzu Kol - 1,5 Kg.","1.394,85",,https://www.gurmar.com.tr/kuzu-kol-1-5-kg-6625-p
2026-02-24,Et ve Tavuk,Kuzu Külbastı - 500 Gr.,"679,95",,https://www.gurmar.com.tr/kuzu-kulbasti-500-gr-6615-p
2026-02-24,Et ve Tavuk,Kuzu Kuşbaşı - 500 Gr.,"669,95",,https://www.gurmar.com.tr/kuzu-kusbasi-500-gr-6623-p
2026-02-24,Et ve Tavuk,Kuzu Pirzola - 500 Gr.,"749,95",,https://www.gurmar.com.tr/kuzu-pirzola-500-gr-6618-p
2026-02-24,Et ve Tavuk,Kuzu Şiş - 500 Gr.,"679,95",,https://www.gurmar.com.tr/kuzu-sis-500-gr-4743-p
2026-02-24,Et ve Tavuk,Kuzu Yarım Kol - 1 Kg.,"1.179,90",,https://www.gurmar.com.tr/kuzu-yarim-kol-1-kg-11948-p
2026-02-24,Et ve Tavuk,Lezita Baget - 1 Kg.,"145,00",,https://www.gurmar.com.tr/lezita-baget-1-kg-5089-p
2026-02-24,Et ve Tavuk,Lezita But - 1 Kg.,"119,90",,https://www.gurmar.com.tr/lezita-but-1-kg-5079-p
2026-02-24,Et ve Tavuk,Lezita But Izgara Derisiz - 1 Kg.,"249,90",,https://www.gurmar.com.tr/lezita-but-izgara-derisiz-1-kg-5146-p
2026-02-24,Et ve Tavuk,Lezita But Pirzola - 1 Kg.,"169,90",,https://www.gurmar.com.tr/lezita-but-pirzola-1-kg-5110-p
2026-02-24,Et ve Tavuk,Lezita Fileto - 1 Kg.,"219,90","259,90",https://www.gurmar.com.tr/lezita-fileto-1-kg-5091-p
2026-02-24,Et ve Tavuk,Lezita Izgara Üst Kanat - 1 Kg.,"289,90",,https://www.gurmar.com.tr/lezita-izgara-ust-kanat-1-kg-5109-p
2026-02-24,Et ve Tavuk,Lezita Piliç Baton Sucuk 450 Gr,"119,90",,https://www.gurmar.com.tr/lezita-pilic-baton-sucuk-450-gr-5308-p
2026-02-24,Et ve Tavuk,"Lezita Poşetli Bütün Piliç - 1,5 Kg.","194,85",,https://www.gurmar.com.tr/lezita-posetli-butun-pilic-1-5-kg-5004-p
2026-02-24,Et ve Tavuk,Maret Afiyetle Dana Kokteyl Sosis 200 gr,"169,90","199,90",https://www.gurmar.com.tr/maret-afiyetle-dana-kokteyl-sosis-200-gr-34570-p
2026-02-24,Et ve Tavuk,Maret Afiyetle Dana Sucuk 200 Gr,"199,90","230,00",https://www.gurmar.com.tr/maret-afiyetle-dana-sucuk-200-gr-26508-p
2026-02-24,Et ve Tavuk,Maret Boncuk Sucuk 220 Gr,"349,90",,https://www.gurmar.com.tr/maret-boncuk-sucuk-220-gr-27243-p
