product_id,name,sku,marka_id,stok_durumu,birim,price,vat_rate,currency,url,scraped_at
4802,25 1/2  BATARYA BAĞLANTISI FEDERLİ ÇİFTLİ KALDE,KALDE.3222BAT250B05,141,Var,2,"106,00",20,TRY,https://yapimaks.com/25-1-2-batarya-baglantisi-federli-ciftli-kalde-p4802,2026-03-23 22:30:17
4800,25 1/2 BATARYA BAĞLANTISI TEKLİ DİŞİ KALDE,KALDE.3222BAT250B01,141,Var,2,"43,00",20,TRY,https://yapimaks.com/25-1-2-batarya-baglantisi-tekli-disi-kalde-p4800,2026-03-23 22:30:19
4809,25 1/2 DIŞ DİŞLİ DİRSEK PPRC KALDE,KALDE.3222EMO250B00,141,Var,2,"45,00",20,TRY,https://yapimaks.com/25-1-2-dis-disli-dirsek-pprc-kalde-p4809,2026-03-23 22:30:21
4821,25 1/2 DIŞ DİŞLİ REKOR KALDE,KALDE.3222NMO250B00,141,Var,2,"40,00",20,TRY,https://yapimaks.com/25-1-2-dis-disli-rekor-kalde-p4821,2026-03-23 22:30:23
4805,25 1/2 İÇ DİŞLİ DİRSEK PPRC KALDE,KALDE.3222EFO250B00,141,Var,2,"34,00",20,TRY,https://yapimaks.com/25-1-2-ic-disli-dirsek-pprc-kalde-p4805,2026-03-23 22:30:25
4816,25 1/2 İÇ DİŞLİ REKOR KALDE,KALDE.3222NFO250B00,141,Var,2,"32,00",20,TRY,https://yapimaks.com/25-1-2-ic-disli-rekor-kalde-p4816,2026-03-23 22:30:27
4826,25 1/2 İÇ DİŞLİ TE PPRC KALDE,KALDE.3222TFO250B25,141,Var,2,"39,00",20,TRY,https://yapimaks.com/25-1-2-ic-disli-te-pprc-kalde-p4826,2026-03-23 22:30:30
4837,25 1/2 OYNAR BAŞLI REKOR DIŞ DİŞLİ ERKEK KALDE,KALDE.3252TUM250B00,141,Var,2,"143,00",20,TRY,https://yapimaks.com/25-1-2-oynar-basli-rekor-dis-disli-erkek-kalde-p4837,2026-03-23 22:30:32
4836,25 1/2 OYNAR BAŞLI REKOR DİŞİ KALDE,KALDE.3252TUF250B00,141,Var,2,"127,00",20,TRY,https://yapimaks.com/25-1-2-oynar-basli-rekor-disi-kalde-p4836,2026-03-23 22:30:34
4830,25 1/2 TE DIŞ DİŞLİ KALDE,KALDE.3222TMO250B25,141,Var,2,"47,00",20,TRY,https://yapimaks.com/25-1-2-te-dis-disli-kalde-p4830,2026-03-23 22:30:36
14606,25 1 REKOR OYNAR BAŞLI İÇ DİŞLİ KALDE,KALDE.3272TUF251000,141,Var,2,"149,00",20,TRY,https://yapimaks.com/25-1-rekor-oynar-basli-ic-disli-kalde-p14606,2026-03-23 22:30:38
4793,25/20/25 İNEGAL TE PPRC KALDE,KALDE.3212TİO252025,141,Var,2,"9,00",20,TRY,https://yapimaks.com/25-20-25-inegal-te-pprc-kalde-p4793,2026-03-23 22:30:40
4784,25/20 REDÜKSİYON PPRC KALDE,KALDE.3212RDC252000,141,Var,2,"4,00",20,TRY,https://yapimaks.com/25-20-reduksiyon-pprc-kalde-p4784,2026-03-23 22:30:42
4810,25 3/4 DIŞ DİŞLİ DİRSEK PPRC KALDE,KALDE.3222EMO250C00,141,Var,2,"61,00",20,TRY,https://yapimaks.com/25-3-4-dis-disli-dirsek-pprc-kalde-p4810,2026-03-23 22:30:44
4822,25 3/4 DIŞ DİŞLİ REKOR PPRC KALDE(ERKEK NİPEL),KALDE.3222NMO250C00,141,Var,2,"57,00",20,TRY,https://yapimaks.com/25-3-4-dis-disli-rekor-pprc-kalde-erkek-nipel-p4822,2026-03-23 22:30:46
4806,25 3/4 İÇ DİŞLİ DİRSEK PPRC KALDE,KALDE.3222EFO250C00,141,Var,2,"42,00",20,TRY,https://yapimaks.com/25-3-4-ic-disli-dirsek-pprc-kalde-p4806,2026-03-23 22:30:48
4817,25 3/4 İÇ DİŞLİ REKOR PPRC KALDE,KALDE.3222NFO250C00,141,Var,2,"39,00",20,TRY,https://yapimaks.com/25-3-4-ic-disli-rekor-pprc-kalde-p4817,2026-03-23 22:30:50
