product-name,product-price
Playstation 5 Slim Standart 1 TB+ 2. Beyaz Dualsense + Şarj + Ps5 FC26 CD,47421.65
Arete One Nem Alma ve Hava Temizleme Cihazı 10 lt,18999.99
Playstation 5 Pro 2TB Oyun Konsolu + 2. PS5 Kol Sterling Silver + PS5 Şarj İstasyonu,69071.13
Theragun ProPlus 6. Jenerasyon Terapi Cihazı,40500.00
KBOV2001.BG Icona Vintage Serisi Gizli Rezistanslı Kettle 1.7 Lt,6940.00
Qrevo L Akıllı Robot Süpürge,42104.21
AirPods 4. Nesil Aktif Gürültü Engelleme Özellikli Kulak İçi Bluetooth Kulaklık MXP93TU,11339.18
V12s Detect Slim Submarine™ Islak Temizleme Özellikli Kablosuz Dikey Süpürge,32999.00
AirPods 4. Nesil Kulak İçi Bluetooth Kulaklık,8999.00
50's Style Retro Krem Stand Mikser SMF04CREU,44500.00
iQ300 HB514FBR1T İnox Ankastre Fırın,23000.00
CRISPi 4-in-1 Sage Green Taşınabilir Cam Hazneli Pişirme Sistemi,9999.00
55Q7F5 55'' Tizen UHD 4K Smart QLED TV,40999.00
iQ300 10 kg 13 Programlı A Enerji Sınıfı 1200 Devir Çamaşır Makinesi WG52A202TR,47500.00
Serie 6 11 kg A Enerji Sınıfı 1400 Devir Home Connect Çamaşır Makinesi WGK264Z0TR,38499.00
C30 Black Eessenza Mini Espresso Kahve Makinesi,10351.77
DualSense Beyaz Kablosuz PS5 Oyun Kolu,4328.87
SC 3 EasyFix Plus Buharlı Temizlik Makinesi,15499.00
Playstation 5 Pro 2TB Oyun Konsolu + 2. PS5 Chroma Teal + PS5 Şarj İstasyonu,69071.13
Siesta Sensira ATXF35F 12000 BTU A++ İnverter Duvar Tipi Klima,49999.00
Lumea Advanced BRI921/00 IPL Lazer Epilasyon Aleti,11699.00
Ampligame A8 Usb Rgb Mikrofon,4800.00
WGK252ZXTR Serie 6 Gümüş 1200 Devir Çamaşır Makinesi 10 kg,37999.00
"iPad 11. Nesil A16 11"" Wi-Fi 128GB Mavi Tablet MD4A4TU/A",22679.38
Magic Tea XL Gri Çay Makinesi,6099.00
Primadonna Aromatic ECAM630.75.TM Tam Otomatik Espresso Kahve Makinesi,111763.53
iPhone 17 Pro 256GB Abis Akıllı Cep Telefonu MG8J4TU/A,119586.60
Airwrap i.d.™ Saç Şekillendirme ve Kurutma Seti (Prusya mavisi/Parlak bakır),28999.00
KG86PAXB0N iQ700 BlackSteel Total noFrost Alttan Donduruculu Buzdolabı,111799.00
Beosound A5 Meşe Ağacı Taşınabilir Bluetooth Hoparlör,95949.00
Winbot W2 Pro Omni Şarjlı Cam Silme Robotu,29099.00
Forerunner 570 47 mm Slate Gri Siyah Silikon Kayışlı Akıllı Saat,37632.00
WQB245AXTR Serie 8 Gümüş Kendini Temizleyen Kondenser Isı Pompalı Kurutma Makinesi 9 kg,53999.00
Playstation 5 Pro 2TB Oyun Konsolu + 2. PS5 Kol Techno Red + PS5 Şarj İstasyonu,69071.13
Skin i·expert IPL Lazer Epilasyon Aleti + 4 Başlık PL7432,32999.00
PX7 S2E Ocean Blue Kulak Üstü Bluetooth Kulaklık,22999.00
Acton III Black BT Hoparlör,15292.94
Serie 6 10 kg 12 Program A Enerji Sınıfı 1200 Çamaşır Makinesi WGK252Z0TR,34999.00
PSG7200/20 7000 Serisi PerfectCare Buhar Kazanlı Ütü,17139.00
AirPods Pro 3 Kulak İçi Bluetooth Kulaklık MFHP4TU/A,15499.00
Triflex HX2 125 Gala Edition Şarjlı Dikey Süpürge,37194.00
Airwrap Co-anda2x™ Saç Şekillendirme ve Kurutma Seti (Ceramic Apricot),35999.00
WN54C2A0TR İQ700 1400 Devir Kurutmalı Çamaşır Makinesi 10.5 kg,104167.52
Romo P Akıllı Robot Süpürge,80999.00
iPhone 17 256GB Beyaz Akıllı Cep Telefonu MG6K4TU/A,84535.05
V16 Piston Animal Submarine™ Islak Kuru Kablosuz Süpürge (Mat Siyah/Bakır),53999.00
PX7 S2E Cloud Grey Kulak Üstü Bluetooth Kulaklık,22999.00
S8 Pro Beyaz Akıllı Robot Süpürge ,16630.53
T500 Compact  Wi-Fi Bağlantılı Hava Temizleyici,10999.99
Dolce&Gabbana Tasarımlı Kettle,42500.00
Playstation 5 Pro 2TB Oyun Konsolu + 2. PS5 Cobalt Blue + PS5 Şarj İstasyonu,69071.13
Blizzard CX1 Cat and Dog Mango Kırmızı Elektrikli Süpürge,35242.50
DualSense PS5 Şarj İstasyonu,1751.55
Pure Max FV9850 Buharlı Ütü,4999.00
Service Solo Silence 28 Şişe Kapasiteli Şarap Dolabı LS28S,39990.00
Marathon Ultimate XB9185/07 Toz Torbasız Süpürge,15799.00
DM-50D-W Beyaz Kablolu Hoparlör,13250.00
HD6301/90 5000 Serisi Temaslı Gri Izgara Tost Makinesi,6059.00
"MacBook Air 15"" M5 Çip 10 Çekirdekli CPU 10 Çekirdekli GPU 16GB Bellek 512GB SSD Gece Yarısı Laptop MDVH4TU/A",88143.30
BGR840 The Smart Grill™ Pro Döküm Izgara ve Tost Makinesi,52999.00
F121 White Lattissima One Kapsüllü Espresso Kahve Makinesi,18822.40
HushJet™ Kompakt Hava Temizleyici (Siyah/Turkuaz),19999.00
Airwrap Co-anda 2x™ Saç Şekillendirme ve Kurutma Seti (Ceramic Pink),35999.00
Pro Express Vision Max GV9920 3000 Watt Buhar Kazanlı Ütü,22999.00
"Legion 5 15AHP10 AMD Ryzen 7 260 32GB 1TB SSD RTX 5060 8GB 15.3"" WUXGA (1920X1200) IPS 165Hz 115W Freedos Gaming Laptop 83M00064TR",74999.00
WV 6 Şarjlı Cam Temizleme Makinesi,6399.00
Forerunner 965 Karbon Gri DLC Titanyum 47mm Sarı Siyah Akıllı Saat,39690.00
PowerPro Turbo Başlıklı Şarjlı Dikey Süpürge,12999.00
Fenix 8 51 mm Solar Sapphire Karbon gri DLC Titanyum Siyah Çakıl Grisi Silikon Kayışlı Akıllı Saat,73500.00
65U65 65'' Google UHD 4K Smart LED TV,32999.00
PlayStation 5 1 TB Slim CD Edition Oyun Konsolu + 2. PS5 Kol + PS5 GTA 5 + PS5 FİFA 25 Oyunu,46390.72
8000 Serisi Aqua Plus XC8053/01 Islak ve Kuru Şarjlı Dikey Süpürge,29289.00
Ampligame A6V Rgb Siyah Usb Mikrofon ,3500.00
PlayStation 5 Slim Digital Edition 825 GB SSD Oyun Konsolu + 2. PS5 Chroma Teal + PS5 Şarj İstasyonu (Yeni Sürüm),41751.55
Mini 5 Pro Fly More Combo RC 2 Drone,71099.00
Lumea 9900 Serisi BRI950/02 IPL Lazer Epilasyon Aleti ve Vücut ve Yüz için 2 Başlık + Çanta,17999.00
F541 Gran Lattissima Siyah Kahve Köşesi Seti,24704.71
"MacBook Air 13"" M5 Çip 10 Çekirdekli CPU 8 Çekirdekli GPU 16GB Bellek 512GB SSD Gök Mavisi Laptop MDHH4TU/A",78864.95
RBS4000 Wellness Akıllı Vücut Analiz Tartısı,2499.00
iPhone 17 256GB Siyah Akıllı Cep Telefonu MG6J4TU/A,84535.05
Purifier Big+Quiet (Beyaz/Parlak Gümüş) Hava Temizleyici,40999.00
Airstrait™ Islaktan Kuruya Saç Düzleştirici (Ceramic Apricot),24999.00
PX7 S2E Forest Green Kulak Üstü Bluetooth Kulaklık,22999.00
SC 1 Multi & Up Buharlı Temizlik Makinesi,6999.00
iQ300 WQ42A201TR Isı Pompalı Kurutma Makinesi 9 kg,49003.45
Fenix 8 Amoled Sapphire 51mm Karbon Gri DLC Silikon Kayışlı Akıllı Saat,76440.00
DT2022 Pure Pop Kırmızı Düzleştirici Buharlı Dikey Ütü,1999.00
5 Plus Pembe Akıllı Çocuk Saati,11862.50
50S55A 50'' Google FHD Smart QLED TV,16999.00
PlayStation 5 1 TB Slim CD Edition Oyun Konsolu + 2. PS5 Kol Siyah,44844.33
65PUS8500/62 65 inç 164 Ekran Smart 4K UHD Dolby Atmos Titan OS Ambilight QLED TV,49999.00
Peach 2 IPL Epilasyon Cihazı,23399.00
PlayStation 5 Slim Dijital Edition 825 GB SSD Oyun Konsolu + 2. PS5 Kol Siyah (Yeni Sürüm),39947.42
