date,product_id,product_name,category,tuik_category,price,relative_1d,relative_7d,relative_15d,relative_30d,sector
2026-09-06,rock z6 2 m,rock z6 2 m,epeykatfg,08,,,,0.0,0.0,epeykatfg
2026-09-06,rowenta sf4532 lisscurl keratin shine,rowenta sf4532 lisscurl keratin shine,epeykatfg,13,,,,-10.000270000269996,2.272294938114783,epeykatfg
2026-09-06,rubenis rbt425 blk,rubenis rbt425 blk,epeykatfg,05,,,,0.0,0.0,epeykatfg
2026-09-06,s link sl m10,s link sl m10,epeykatfg,08,,,,0.7137254901960821,1.5138938297956317,epeykatfg
2026-09-06,s link swapp sw c501 0 2 m,s link swapp sw c501 0 2 m,epeykatfg,08,,,,0.0,5.586592178770955,epeykatfg
2026-09-06,sage bta720,sage bta720,epeykatfg,05,,,,0.0,13.334222281485442,epeykatfg
2026-09-06,sage sgr820,sage sgr820,epeykatfg,05,,,,3.3333333333333215,9.723594471889442,epeykatfg
2026-09-06,salcano hector 26 v,salcano hector 26 v,epeykatfg,09,,,,0.6031416388661892,-5.340401205695866,epeykatfg
2026-09-06,samsonite proxis spinner orta boy valiz,samsonite proxis spinner orta boy valiz,epeykatfg,03,,,,0.0,0.0,epeykatfg
2026-09-06,samsung 50m70h,samsung 50m70h,epeykatfg,09,,,,-1.463608362708524,1.3664924441276982,epeykatfg
2026-09-06,samsung ar40 12,samsung ar40 12,epeykatfg,05,,,,-12.348260835732628,-18.076111858613043,epeykatfg
2026-09-06,samsung b350e,samsung b350e,epeykatfg,08,,,,-24.64615384615385,-5.842096157173337,epeykatfg
2026-09-06,samsung e1050,samsung e1050,epeykatfg,08,,,,1.0309278350515427,-2.0000000000000018,epeykatfg
2026-09-06,samsung e2121,samsung e2121,epeykatfg,08,,,,0.0,0.0,epeykatfg
2026-09-06,samsung galaxy s25 plus 512gb,samsung galaxy s25 plus 512gb,epeykatfg,08,,,,0.0,-5.625070313378922,epeykatfg
2026-09-06,samsung galaxy tab s11 ultra,samsung galaxy tab s11 ultra,epeykatfg,08,,,,12.161833502625207,7.713791267159342,epeykatfg
