product-name,product-price,Ana Kategori,Kategori ID,Stok Kodu,Fiyat,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d
PEMBE-BEJ DEGRADE İPEK ETEK,₺50.950,Kadin,301,M405092260-0063-0021,50950.0,03,0.0,0.0,0.0
PEMBE-BEJ POLO YAKA BLUZ,₺55.950,Kadin,301,M405092291-0021-0063,55950.0,03,0.0,0.0,0.0
PEMBE KISA KOLLU GÖMLEK,₺35.950,Kadin,301,M405092255-0063-0021,35950.0,03,0.0,0.0,0.0
EKRU MONT,₺69.950,Kadin,301,M404577019-0021,69950.0,03,0.0,0.0,0.0
LİLA MİDİ ETEK,₺50.950,Kadin,301,M404576990-0054,50950.0,03,0.0,0.0,0.0
LİLA O YAKA UZUN KOLLU BLUZ,₺40.950,Kadin,301,M404576989-0054,40950.0,03,0.0,0.0,0.0
LİLA BOL KESİM PANTOLON,₺42.950,Kadin,301,M404634840-0054,42950.0,03,0.0,0.0,0.0
LİLA ŞAPKA,₺20.950,Kadin,301,M404644548-0054,20950.0,03,0.0,0.0,0.0
LİLA KISA KOLLU BLUZ,₺30.950,Kadin,301,M404634839-0054,30950.0,03,0.0,0.0,0.0
LİLA TRİKO,₺8.950,Kadin,301,M404690234-0054,8950.0,03,0.0,0.0,0.0
MAVİ KABAN,₺105.950,Kadin,301,M404576997-0038,105950.0,03,0.0,0.0,0.0
MAVİ DAR PAÇA KETEN PANTOLON,₺25.950,Kadin,301,M404480382-0038,25950.0,03,0.0,0.0,0.0
MAVİ KAYIK YAKA TRİKO,₺20.950,Kadin,301,M404402058-0038,20950.0,03,0.0,0.0,0.0
MAVİ DESENLİ MİDİ ETEK,₺35.950,Kadin,301,M404634838-0047-0042,35950.0,03,0.0,0.0,0.0
BEYAZ UZUN KOLLU GÖMLEK,₺18.950,Kadin,301,M301415434-0012,18950.0,03,0.0,0.0,0.0
MAVİ DESENLİ CEKET,₺45.950,Kadin,301,M404634836-0047-0038,45950.0,03,0.0,0.0,0.0
MAVİ DESENLİ PANTOLON,₺30.950,Kadin,301,M404634837-0047-0042,30950.0,03,0.0,0.0,0.0
MAVİ V YAKA TRİKO,₺28.665,Kadin,301,M404576981-0038,28665.0,03,0.0,0.0,-30.0
MAVİ POLO YAKA TRİKO,₺30.950,Kadin,301,M404402059-0038-0012,30950.0,03,0.0,0.0,0.0
MAVİ DÜZ KESİM PANTOLON,₺35.950,Kadin,301,M404576985-0038,35950.0,03,0.0,0.0,0.0
MAVİ KRUVAZE YAKA CEKET,₺70.950,Kadin,301,M404576984-0038,70950.0,03,0.0,0.0,0.0
MAVİ V YAKA KOLSUZ BLUZ,₺25.950,Kadin,301,M404576982-0038,25950.0,03,0.0,0.0,0.0
MAVİ UZUN KOLLU GÖMLEK,₺80.950,Kadin,301,M404576980-0038,80950.0,03,0.0,0.0,0.0
MAVİ UZUN KOLLU GÖMLEK,₺45.950,Kadin,301,M404576983-0038,45950.0,03,0.0,0.0,0.0
MAVİ BOL PAÇA PANTOLON,₺30.950,Kadin,301,M404480364-0038,30950.0,03,0.0,0.0,0.0
MAVİ KISA KOLLU GÖMLEK,₺25.950,Kadin,301,M404480363-0038,25950.0,03,0.0,0.0,0.0
MAVİ BOL PAÇA PANTOLON,₺35.950,Kadin,301,M405092286-0038,35950.0,03,0.0,0.0,0.0
CAMEL-MAVİ TRİKO,₺15.950,Kadin,301,M405818680-0088-0038,15950.0,03,0.0,0.0,0.0
MAVİ KETEN YELEK,₺40.950,Kadin,301,M404480405-0038,40950.0,03,0.0,0.0,0.0
