District,Rooms,Price
Merkez,Stüdyo (1+0),18.500 TL
Merkez,3+1,18.500 TL
Turhal,2+1,18.000 TL
Merkez / Karşıyaka,3+1,17.500 TL
Merkez,3+1,17.500 TL
Niksar,4+1,18.000 TL
Merkez,2+1,17.500 TL
Merkez,2+1,18.000 TL
Merkez,3+1,18.000 TL
Merkez,1+1,18.000 TL
Merkez,1+1,17.500 TL
Merkez,1+1,18.500 TL
Merkez,1+1,17.500 TL
Merkez / Köyler,3+1,17.500 TL
Turhal,3+1,18.500 TL
Erbaa,3+1,18.000 TL
Merkez / Köyler,3+1,18.500 TL
Merkez,1+1,18.000 TL
Turhal,4+1,17.500 TL
Niksar,2+1,18.000 TL
Turhal,2+1,18.500 TL
Merkez / Köyler,2+1,18.000 TL
Merkez,1+1,18.000 TL
Zile,3+1,18.000 TL
Merkez,2+0,18.000 TL
Merkez,2+0,18.000 TL
Merkez,2+1,19.000 TL
Erbaa,3+1,19.000 TL
Merkez,4+1,19.500 TL
Merkez,3+1,18.750 TL
Turhal,3+1,19.000 TL
Merkez,1+1,19.000 TL
Merkez,3+1,19.000 TL
Merkez,2+1,19.000 TL
Merkez,1+1,19.000 TL
Merkez,1+1,19.000 TL
Merkez / Köyler,2+1,19.000 TL
Merkez / Köyler,1+1,19.000 TL
Merkez,1+1,19.500 TL
Merkez,3+1,19.500 TL
Merkez,2+1,19.000 TL
Zile,1+1,19.000 TL
Merkez,2+1,19.000 TL
Merkez,3+1,19.500 TL
Merkez,2+1,19.000 TL
Merkez / Karşıyaka,1+1,19.000 TL
Merkez / Köyler,3+1,19.000 TL
Merkez,2+1,19.000 TL
Zile,3+1,19.000 TL
Merkez,3+1,19.000 TL
Merkez,2+1,19.000 TL
Turhal,2+1,19.000 TL
Erbaa,2+1,19.000 TL
Merkez,3+1,19.000 TL
Merkez,2+0,18.900 TL
Merkez,2+1,19.000 TL
Merkez / Karşıyaka,2+1,19.500 TL
Merkez / Perakende,3+1,19.000 TL
Merkez,2+1,19.000 TL
Merkez,2+1,19.500 TL
Merkez,2+1,19.000 TL
Merkez,1+1,19.500 TL
Merkez,2+1,19.000 TL
Merkez,1+1,19.000 TL
Zile,1+1,20.000 TL
Merkez,2+0,20.000 TL
Erbaa,3+1,20.000 TL
Merkez,1+1,20.000 TL
Merkez,3+1,20.000 TL
Merkez,1+1,20.000 TL
Merkez / Karşıyaka,3+1,20.000 TL
Merkez / Köyler,3+1,20.000 TL
Erbaa,2+1,20.000 TL
Merkez,3+1,20.000 TL
Merkez,2+1,20.000 TL
Merkez,2+1,20.000 TL
Merkez,2+1,20.000 TL
Merkez,1+1,20.000 TL
Merkez,2+0,20.000 TL
Merkez,1+1,20.000 TL
Merkez / Köyler,3+1,20.000 TL
Merkez,1+1,20.000 TL
Merkez / Karşıyaka,1+1,20.000 TL
Merkez,2+1,20.000 TL
Merkez / Karşıyaka,2+1,20.000 TL
Merkez,3+1,20.000 TL
Merkez,4+1,20.000 TL
Merkez,3+1,20.000 TL
Merkez,3+1,20.000 TL
Erbaa,1+1,20.000 TL
Niksar,3+1,20.000 TL
Merkez,3+1,20.000 TL
Zile,2+1,20.000 TL
Merkez,3+1,20.000 TL
Merkez,3+1,20.000 TL
Merkez / Köyler,1+1,20.000 TL
Pazar,3+1,20.000 TL
Merkez,2+1,20.000 TL
Merkez,2+1,20.000 TL
Erbaa,2+1,20.000 TL
Merkez,2+1,20.000 TL
Merkez,1+1,20.000 TL
Erbaa,2+1,20.000 TL
Merkez,1+1,20.000 TL
Merkez,3+1,20.000 TL
Merkez,3+1,20.000 TL
Merkez,3+1,20.000 TL
Niksar,2+1,20.000 TL
Merkez,2+1,20.000 TL
Merkez / Köyler,2+1,20.000 TL
Merkez,3+1,20.000 TL
Erbaa,2+1,20.000 TL
Turhal,2+1,20.000 TL
Merkez,2+1,20.000 TL
Merkez,3+1,20.000 TL
Merkez,2+1,20.000 TL
Merkez,2+1,20.000 TL
Merkez,3+1,20.000 TL
Merkez,3+1,20.000 TL
Merkez,1+1,20.000 TL
