Ana Kategori,Kategori ID,Stok Kodu,Ürün Adı,Fiyat,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d
Kadin,301,M404497949-0012-0021,BEYAZ-BEJ ÇİZGİLİ TRİKO,25950.0,03,0.0,0.0,0.0
Kadin,301,M404402060-0022,VİZON FERMUARLI SWEATSHIRT,40950.0,03,0.0,0.0,0.0
Kadin,301,M404480373-0021,BEJ YELEK,60950.0,03,0.0,0.0,0.0
Kadin,301,M404480411-0021,BEJ KETEN PANTOLON,30950.0,03,0.0,0.0,0.0
Kadin,301,M404401671-0021-0012,BEJ TRİKO,25950.0,03,0.0,0.0,0.0
Kadin,301,M301525429-0021-0027,BEJ DÜZ KESİM PANTOLON,15950.0,03,0.0,0.0,0.0
Kadin,301,M404564780-0021,BEJ KAPÜŞONLU YELEK,35950.0,03,0.0,0.0,0.0
Kadin,301,M405300105-0027-0021,EKRU-BEJ V YAKA TRİKO,12950.0,03,0.0,0.0,0.0
Kadin,301,M404832401-0027,EKRU MONT,42950.0,03,0.0,0.0,0.0
Kadin,301,M404480372-0021,BEJ BOL KESİM PANTOLON,25950.0,03,0.0,0.0,0.0
Kadin,301,M404480371-0021,BEJ KISA KOLLU GÖMLEK,30950.0,03,0.0,0.0,0.0
Kadin,301,M405124253-0027,EKRU KRUVAZE YAKA CEKET,35950.0,03,0.0,0.0,0.0
Kadin,301,M404810536-0021,KAZAK,20950.0,03,0.0,0.0,
Kadin,301,M404644541-0027,EKRU TRİKO,40950.0,03,0.0,0.0,0.0
Kadin,301,M404810534-0071,PUDRA DAR PAÇA PANTOLON,20950.0,03,0.0,0.0,0.0
Kadin,301,M404634847-0021,BEJ KRUVAZE CEKET,52950.0,03,0.0,0.0,0.0
Kadin,301,M404634848-0021,BEJ BOL PAÇA PANTOLON,35950.0,03,0.0,0.0,0.0
Kadin,301,M405311836-0021,BEJ KISA KOLLU TRİKO,8950.0,03,0.0,0.0,0.0
Kadin,301,M404634851-0021-0012,BEJ CEKET,55950.0,03,0.0,0.0,0.0
Kadin,301,M404634850-0012-0014,BEYAZ ÇİZGİLİ PANTOLON,35950.0,03,0.0,0.0,0.0
Kadin,301,M404634849-0012-0014,BEYAZ ÇİZGİLİ GÖMLEK,35950.0,03,0.0,0.0,0.0
Kadin,301,M404402062-0012-0021,BEYAZ V YAKA T-SHIRT,15950.0,03,0.0,0.0,0.0
Kadin,301,M404480366-0027-0021,EKRU BOL KESİM ÇİZGİLİ PANTOLON,35950.0,03,0.0,0.0,0.0
Kadin,301,M404480365-0027-0021,EKRU ÇİZGİLİ CEKET,55950.0,03,0.0,0.0,0.0
Kadin,301,M404402064-0022,VİZON KOLSUZ T-SHIRT,15950.0,03,0.0,0.0,0.0
Kadin,301,M404509400-0031-0021,HAKİ-BEJ ELBİSE,25950.0,03,0.0,0.0,0.0
Kadin,301,M404644547-0021-0012,BEJ ŞAPKA,15950.0,03,0.0,0.0,0.0
Kadin,301,M404644524-0012-0027,KAZAK,25950.0,03,0.0,0.0,
Kadin,301,M404634852-0021,BEJ BOL KESİM PANTOLON,35950.0,03,0.0,0.0,0.0
Kadin,301,M405311838-0031,HAKİ POLO YAKA TRİKO,10950.0,03,0.0,0.0,0.0
Kadin,301,M405092254-0022,GÖMLEK,35950.0,03,0.0,0.0,
Kadin,301,M404480394-0031,HAKİ YELEK,45950.0,03,0.0,0.0,0.0
Kadin,301,M404634846-0031,HAKİ MİDİ ETEK,45950.0,03,0.0,0.0,0.0
Kadin,301,M404644545-0031-0021,KAZAK,40950.0,03,0.0,0.0,
Kadin,301,M405282170-0029-0037,YEŞİL ÇİZGİLİ TRİKO,8950.0,03,0.0,0.0,0.0
Kadin,301,M404509402-0031-0021,HAKİ-BEJ DESENLİ ETEK,25950.0,03,0.0,0.0,0.0
Kadin,301,M404644533-0012-0031,BEYAZ-HAKİ T-SHIRT,23950.0,03,0.0,0.0,0.0
Kadin,301,M404644532-0031,HAKİ V YAKA T-SHIRT,23950.0,03,0.0,0.0,
Kadin,301,M404634855-0031,HAKİ İPEK BLUZ,40950.0,03,0.0,0.0,0.0
Kadin,301,M404634854-0031,HAKİ BOL KESİM İPEK PANTOLON,40950.0,03,0.0,0.0,0.0
Kadin,301,M404634845-0031,HAKİ İPEK ELBİSE,72950.0,03,0.0,0.0,0.0
Kadin,301,M404480400-0014,KAHVE BOL PAÇA PANTOLON,32950.0,03,0.0,0.0,0.0
Kadin,301,M404480399-0014,KAHVE KOLSUZ GÖMLEK,30950.0,03,0.0,0.0,0.0
Kadin,301,M404480389-0014,KAHVE BOL KESİM KETEN PANTOLON,32950.0,03,0.0,0.0,0.0
Kadin,301,M405261211-0022,ATLET,4950.0,03,0.0,0.0,0.0
Kadin,301,M404497956-0022,VİZON UZUN ELBİSE,35950.0,03,0.0,0.0,0.0
Kadin,301,M404497948-0021,BEJ UZUN ELBİSE,40950.0,03,0.0,0.0,0.0
Kadin,301,M404480369-0021,BEJ ASİMETRİK MİDİ ETEK,30950.0,03,0.0,0.0,0.0
Kadin,301,M404480409-0027,EKRU KOLSUZ BLUZ,25950.0,03,0.0,0.0,0.0
Kadin,301,M404634823-0071,BLUZ,35950.0,03,0.0,0.0,0.0
Kadin,301,M301429642-0027,EKRU ASKILI İPEK BLUZ,12950.0,03,0.0,0.0,0.0
Kadin,301,M405092299-0027,EKRU DANTELLİ BLUZ,40950.0,03,0.0,0.0,0.0
Kadin,301,M404497950-0021,BEJ İPEK GÖMLEK,40950.0,03,0.0,0.0,0.0
Kadin,301,M301602030-0038,MAVİ PARLAK KETEN PANTOLON,15950.0,03,0.0,0.0,0.0
Kadin,301,M301602027-0038,MAVİ PARLAK KETEN BLUZ,12950.0,03,0.0,0.0,0.0
Kadin,301,M405423179-0021,BEJ DEKOLTELİ KOLSUZ BLUZ,20950.0,03,0.0,0.0,0.0
Kadin,301,M405423180-0021,BEJ ASİMETRİK UZUN ETEK,30950.0,03,0.0,0.0,0.0
Kadin,301,M404480374-0027,EKRU MİDİ ETEK,40950.0,03,0.0,0.0,0.0
Kadin,301,M404480370-0027,EKRU ASKILI BLUZ,25950.0,03,0.0,0.0,0.0
Kadin,301,M404480376-0027,EKRU BOL KESİM PANTOLON,35950.0,03,0.0,0.0,0.0
Kadin,301,M404480375-0027,EKRU GÖMLEK,45950.0,03,0.0,0.0,0.0
Kadin,301,M404480378-0027,EKRU ŞAL YAKA CEKET,50950.0,03,0.0,0.0,0.0
Kadin,301,M404480406-0027,EKRU DÜZ KESİM PANTOLON,30950.0,03,0.0,0.0,0.0
Kadin,301,M405053624-0022,VİZON CEKET,45950.0,03,0.0,0.0,0.0
Kadin,301,M405053620-0021,BEJ KRUVAZE CEKET,45950.0,03,0.0,0.0,0.0
Kadin,301,M405053622-0021,BEJ DÜZ KESİM PANTOLON,25950.0,03,0.0,0.0,0.0
Kadin,301,M301538679-0021,BEJ DİK YAKA CEKET,30950.0,03,0.0,0.0,0.0
Kadin,301,M404810535-0021-0027,BEJ İPEK KISA KOLLU TRİKO,15950.0,03,0.0,0.0,0.0
