Ana Kategori,Kategori ID,Stok Kodu,Ürün Adı,Fiyat,tuik_category,basic_inflation_1d
Kadin,301,M402163755-0021-0002,BEJ ŞAPKA,14950.0,03,0.0
Kadin,301,M402423939-0089,NATÜREL ŞAPKA,12950.0,03,0.0
Kadin,301,M403047952-0027,EKRU KOLSUZ BLUZ,22950.0,03,0.0
Kadin,301,M403047954-0012,BEYAZ T-SHIRT,19950.0,03,0.0
Kadin,301,M403047955-0027,EKRU T-SHIRT,22950.0,03,0.0
Kadin,301,M403048308-0027,EKRU YÜN TRİKO,29950.0,03,0.0
Kadin,301,M403475639-0096,LACİVERT BOL PAÇA JEAN PANTOLON,22950.0,03,0.0
Kadin,301,M403599287-0005-0004,KÜPE,12950.0,03,0.0
Kadin,301,M403607683-0027,TRİKO,32950.0,03,0.0
Kadin,301,M403630632-0027,EKRU BLUZ,42950.0,03,0.0
Kadin,301,M403719554-0009,KÜPE,7950.0,03,0.0
Kadin,301,M403928759-0027,EKRU BLUZ,17950.0,03,0.0
Kadin,301,M404403787-0027,EKRU ATLET,2950.0,03,0.0
Kadin,301,M404497955-0038-0041,MAVİ DEGRADE TRİKO,20950.0,03,0.0
Kadin,301,M404506814-0002,SİYAH BÜSTİYER,52950.0,03,0.0
Kadin,301,M404647375-0002-0092,SİYAH ŞORT,12950.0,03,0.0
Kadin,301,M404712119-0056,BORDO PANTOLON,20950.0,03,0.0
Kadin,301,M405093713-0038,MAVİ CEKET,35950.0,03,0.0
Kadin,301,M405094169-0002,SİYAH CEKET,40950.0,03,0.0
Kadin,301,M405104663-0041-0012,LACİVERT DESENLİ ELBİSE,22950.0,03,0.0
Kadin,301,M405282167-0021,BEJ O YAKA TRİKO,6950.0,03,0.0
Kadin,301,M405282173-0037,MİNT BORU PAÇA PANTOLON,10950.0,03,0.0
Kadin,301,M405283115-0012-0089,BEYAZ O YAKA TRİKO,6950.0,03,0.0
Kadin,301,M405941712-0021,BEJ PANTOLON,15950.0,03,0.0
Kadin,301,M405941730-0027-0002,EKRU ASKILI DİZ ALTI ELBİSE,29950.0,03,0.0
Kadin,301,M406222336-0021-0002,BEJ-SİYAH DEGRADE DERİ CEKET,35950.0,03,0.0
Kadin,301,M301279269-0002,SİYAH UZUN KOLLU İPEK GÖMLEK,25950.0,03,0.0
Kadin,301,M301415433-0027-0021,ÇOK RENKLİ ÇİZGİLİ GÖMLEK,15950.0,03,0.0
Kadin,301,M301415435-0027-0002,EKRU ASKILI MİDİ ELBİSE,22950.0,03,0.0
Kadin,301,M301429641-0010,AÇIK GRİ ÇİZGİLİ CEKET,35950.0,03,0.0
Kadin,301,M301429642-0027,EKRU ASKILI İPEK BLUZ,12950.0,03,0.0
Kadin,301,M301564167-0041,LACİVERT DAR PAÇA PANTOLON,18950.0,03,0.0
Kadin,301,M402171424-0012-0089,BEYAZ ŞAPKA,9450.0,03,0.0
Kadin,301,M402326999-0089-0022,NATÜREL ŞAPKA,10950.0,03,0.0
Kadin,301,M403597672-0092-0001,KÜPE,9950.0,03,0.0
Kadin,301,M403597675-0009-0002,KÜPE,9950.0,03,0.0
Kadin,301,M403599300-0021,BANDANA,15950.0,03,0.0
Kadin,301,M403719559-0092,KÜPE,9950.0,03,0.0
Kadin,301,M404345644-0038,PANTOLON,55950.0,03,0.0
Kadin,301,M404346051-0021,BEJ KISA KOLLU ELBİSE,29950.0,03,0.0
Kadin,301,M404676450-0031,JEAN PANTOLON,25950.0,03,0.0
Kadin,301,M404676455-0071,JEAN PANTOLON,22950.0,03,0.0
Kadin,301,M404690230-0027-0021,ÇOK RENKLİ ÇİZGİLİ TRİKO,8950.0,03,0.0
Kadin,301,M404690233-0029,YEŞİL V YAKA TRİKO,8950.0,03,0.0
Kadin,301,M405093712-0041,LACİVERT CEKET,35950.0,03,0.0
Kadin,301,M405104665-0002-0012,BEYAZ GEOMETRİK DESENLİ GÖMLEK,15950.0,03,0.0
