id,shown_price,category,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Anavarza Çam Balı 325 Gr,349.9,"Süt, Kahvaltılık, Sark.",01,,,,
Anavarza Çam Balı 450 Gr,399.9,"Süt, Kahvaltılık, Sark.",01,,,,
Anavarza Çam Balı 850 Gr,699.9,"Süt, Kahvaltılık, Sark.",01,,,,
Anavarza Çiçek Balı 850 Gr,499.9,"Süt, Kahvaltılık, Sark.",01,,,,
Anavarza Çiçek Balı Akıllı Kapak 325 Gr,259.95,"Süt, Kahvaltılık, Sark.",01,,,,
Anavarza Keven Kekik Balı 450 Gr,499.9,"Süt, Kahvaltılık, Sark.",01,,,,
Anavarza Keven Kekik Balı 850 Gr,799.9,"Süt, Kahvaltılık, Sark.",01,,,,
Anavarza Kral Şakir Bal Tüpü 40 Gr,54.9,"Süt, Kahvaltılık, Sark.",01,,,,
Aoç Fındık Kreması 700 Gr,229.95,"Süt, Kahvaltılık, Sark.",01,,,,
Arnilya Sele Siyah Zeytin - 500 Gr._1kg,,Bilinmiyor,,,,,
Arnilya Yağlı Sele Özel İri Zeytin - 500 Gr._1kg,,Bilinmiyor,,,,,
Arnilya Yağlı Sele Zeytin - 500 Gr._1kg,,Bilinmiyor,,,,,
Balkovan Süzme Çiçek Balı 460 Gr,259.9,"Süt, Kahvaltılık, Sark.",01,,,,
Balparmak Apitera Zen 7'li 7 Gr,124.9,"Süt, Kahvaltılık, Sark.",01,,,,
Balparmak Çam Balı Çıt Kapak 350 Gr,349.9,"Süt, Kahvaltılık, Sark.",01,,,,
Balparmak Çiçek Balı 850 Gr,679.9,"Süt, Kahvaltılık, Sark.",01,,,,
Balparmak Çiçek Balı Çıt Kapak 350 Gr,349.9,"Süt, Kahvaltılık, Sark.",01,,,,
Balparmak Süzme Çam Balı Kavanoz 460 Gr,426.9,"Süt, Kahvaltılık, Sark.",01,,,,
Balparmak Süzme Çam Balı Kavanoz 850 Gr,679.9,"Süt, Kahvaltılık, Sark.",01,,,,
Balparmak Süzme Çiçek Balı Kavanoz 460 Gr,426.9,"Süt, Kahvaltılık, Sark.",01,,,,
Balparmak Yayla ve Ova Süzme Çiçek Balı Çıt Kapak 350 Gr,299.95,"Süt, Kahvaltılık, Sark.",01,,,,
Balparmak Yayla ve Ova Süzme Çiçek Balı Kavanoz 850 Gr,524.9,"Süt, Kahvaltılık, Sark.",01,,,,
Becel Kase Margarin 250 Gr,52.0,"Süt, Kahvaltılık, Sark.",01,,,,
Becel Kase Margarin 500 Gr,98.8,"Süt, Kahvaltılık, Sark.",01,,,,
Becel Tereyağ Keyfi Kase Margarin 250 Gr,52.0,"Süt, Kahvaltılık, Sark.",01,,,,
Becel Tereyağ Keyfi Kase Margarin 500 Gr,98.8,"Süt, Kahvaltılık, Sark.",01,,,,
Becel Zeytinyağlı Kase Margarin 500 Gr,113.2,"Süt, Kahvaltılık, Sark.",01,,,,
Bizim Paket Margarin 250 Gr,45.5,"Süt, Kahvaltılık, Sark.",01,,,,
Burcu Ajvar Kahvaltılık Sos 310 Gr,54.9,"Süt, Kahvaltılık, Sark.",01,,,,
Burcu Kahvaltılık Acı Sos 320 Gr,54.9,"Süt, Kahvaltılık, Sark.",01,,,,
Cem Yağlı Sele Süper Zeytin - 500 Gr._1kg,,Bilinmiyor,,,,,
Çiğköfte Cevizli Meze - 500 Gr._1kg,,Bilinmiyor,,,,,
Çokokrem 180 Gr,55.0,"Süt, Kahvaltılık, Sark.",01,,,,
Çokokrem 950 Gr,245.0,"Süt, Kahvaltılık, Sark.",01,,,,
Danone 1\1 Laktozsuz Süt 1 Lt,69.9,"Süt, Kahvaltılık, Sark.",01,,,,
Danone Act. Yaban Mersinli Probiyotik 100Gr *4,99.5,"Süt, Kahvaltılık, Sark.",01,,,,
Danone Activia Kara Mürver ve Yaban Mersinli Shot 80 Ml,34.5,"Süt, Kahvaltılık, Sark.",01,,,,
Danone Activia Mix & Go Çilek 183 g,62.0,Bilinmiyor,,,,,
Danone Activia Nar-Çilek Aromalı Probiyotik Shot 80 Ml,34.5,"Süt, Kahvaltılık, Sark.",01,,,,
Danone Alpro Badem Sütü 1 Lt,159.9,"Süt, Kahvaltılık, Sark.",01,,,,
Danone Alpro Badem Sütü 250 ML,49.9,"Süt, Kahvaltılık, Sark.",01,,,,
Danone Alpro Hindistan Cevizi Sütü 1 Lt,159.9,"Süt, Kahvaltılık, Sark.",01,,,,
Danone Alpro Şeker İlavesiz Hindistan Cevizi Sütü 1 Lt,159.9,"Süt, Kahvaltılık, Sark.",01,,,,
Danone Alpro Yula&Badem Sütü 1 Lt,159.9,"Süt, Kahvaltılık, Sark.",01,,,,
Danone Çilek Aromalı Süt 180 Ml,26.5,"Süt, Kahvaltılık, Sark.",01,,,,
Danone Çilek&Vanilya Milkshake 188 Gr,42.5,"Süt, Kahvaltılık, Sark.",01,,,,
