id,category,product_id,shown_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Aptamil 1 Bebek Sütü 800 Gr,Bebek Ürünleri,8402,949.9,12,0.0,0.0,-14.415713127308777,-14.415713127308777
Aptamil 2 Akıllı Kutu Devam Sütü 6-9 Ay 350 Gr,Bebek Ürünleri,8433,539.9,12,0.0,0.0,0.0,25.587345894394048
Aptamil 2 Devam Sütü 800 Gr,Bebek Ürünleri,4547,949.9,12,0.0,0.0,-14.415713127308777,-14.415713127308777
Aptamil 3 Devam Sütü 350 Gr,Bebek Ürünleri,8457,539.9,12,0.0,0.0,0.0,25.587345894394048
Aptamil 3 Devam Sütü 800 Gr,Bebek Ürünleri,6920,949.9,12,0.0,0.0,-14.415713127308777,-14.415713127308777
Aptamil 4 Çocuk Devam Sütü 350 Gr,Bebek Ürünleri,11288,539.9,12,0.0,0.0,0.0,25.587345894394048
Aptamil 4 Çocuk Devam Sütü 800 Gr,Bebek Ürünleri,7901,949.9,12,0.0,0.0,-14.415713127308777,-14.415713127308777
Aptamil 5 Çocuk Devam Sütü 350 Gr,Bebek Ürünleri,6926,539.9,12,0.0,0.0,0.0,25.587345894394048
Aptamil 5 Çocuk Devam Sütü 800 Gr,Bebek Ürünleri,7914,949.9,12,0.0,0.0,-14.415713127308777,-14.415713127308777
Bebelac 1 Bebek Sütü 400 Gr,Bebek Ürünleri,5915,379.9,12,0.0,0.0,0.0,0.0
Bebelac 1 Bebek Sütü 800 Gr,Bebek Ürünleri,5918,599.9,12,0.0,0.0,-11.766436240623621,-11.766436240623621
Bebelac 2 Bebek Sütü 400 Gr,Bebek Ürünleri,5916,379.9,12,0.0,0.0,0.0,
Bebelac 3 Bebek Sütü 400 Gr,Bebek Ürünleri,5917,379.9,12,0.0,0.0,0.0,35.72704537334763
Bebelac 3 Bebek Sütü 800 Gr,Bebek Ürünleri,5920,599.9,12,0.0,0.0,-11.766436240623621,-11.766436240623621
Bebelac 4 Bebek Sütü 400 Gr,Bebek Ürünleri,5921,379.9,12,0.0,0.0,0.0,35.72704537334763
Bebelac 4 Bebek Sütü 800 Gr,Bebek Ürünleri,5922,599.9,12,0.0,0.0,-11.766436240623621,-11.766436240623621
Bebelac Elma Armut Püresi Kavanoz Maması 125 Gr,Bebek Ürünleri,10322,49.9,12,0.0,0.0,0.0,0.0
Bebelac Elma Şeftali Püresi Kavanoz Maması 125 Gr,Bebek Ürünleri,8445,49.9,12,0.0,0.0,0.0,0.0
Bebelac Gold 1 Bebek Sütü 800 Gr,Bebek Ürünleri,5923,699.9,12,0.0,0.0,-14.635931211123307,-14.635931211123307
Bebelac Gold 2 Bebek Sütü 800 Gr,Bebek Ürünleri,5924,699.9,12,0.0,0.0,-14.635931211123307,-14.635931211123307
Bebelac Gold 2 Devam Sütü 350 Gr,Bebek Ürünleri,7903,409.9,12,0.0,0.0,0.0,36.67889296432144
Bebelac Gold 3 Devam Sütü 350 Gr,Bebek Ürünleri,2311,409.9,12,0.0,0.0,0.0,
Bebelac Gold Kavanoz Sütlaç 125 Gr,Bebek Ürünleri,8405,49.9,12,0.0,0.0,0.0,0.0
Eti Cicibebe Bebek Bisküvisi 400 Gr,Bebek Ürünleri,7783,96.5,12,0.0,,0.0,10.601719197707736
ABC Bahar Tutkusu Yüzey Temizleyicisi 2500 Ml,Deterjan ve Temizlik,3184,109.9,05,0.0,0.0,57.22460658082975,0.0
ABC Beyaz İnci Yüzey Temizleyici 2500 Ml,Deterjan ve Temizlik,12212,109.9,05,0.0,0.0,57.22460658082975,0.0
ABC Cam Temizleyici 750 Ml,Deterjan ve Temizlik,3949,59.9,05,0.0,0.0,0.0,0.0
