id,shown_price,product-id,category,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
ABC Bahar Tutkusu Yüzey Temizleyicisi 2500 Ml,109.9,3184,Deterjan ve Temizlik,05,0.0,0.0,0.0,0.0
ABC Beyaz İnci Yüzey Temizleyici 2500 Ml,109.9,12212,Deterjan ve Temizlik,05,0.0,0.0,0.0,0.0
ABC Cam Temizleyici 750 Ml,59.9,3949,Deterjan ve Temizlik,05,0.0,0.0,0.0,0.0
ABC Dağ Rüzgarı Ultra Çamaşır Suyu 3250 Ml,169.9,3181,Deterjan ve Temizlik,05,0.0,0.0,0.0,0.0
ABC İpeksi Yumuşaklık Aşk Çamaşır Yumuşatıcısı 5 Lt,199.9,3173,Deterjan ve Temizlik,05,0.0,0.0,0.0,0.0
ABC İpeksi Yumuşaklık Huzur Çamaşır Yumuşatıcısı 5 Lt,199.9,3172,Deterjan ve Temizlik,05,0.0,0.0,0.0,0.0
ABC İpeksi Yumuşaklık Tutku Çamaşır Yumuşatıcısı 5 Lt,199.9,3170,Deterjan ve Temizlik,05,0.0,0.0,0.0,0.0
ABC Jel Power Renkliler İçin Sıvı Çamaşır Deterjanı 2145 Ml,199.9,12211,Deterjan ve Temizlik,05,0.0,0.0,0.0,0.0
ABC Karbonatlı Ultra Çamaşır Suyu 3250 Ml,169.9,3182,Deterjan ve Temizlik,05,0.0,0.0,0.0,0.0
ABC Leke Karşıtı Sıvı Çamaşır Deterjanı 2700 Ml,219.9,3947,Deterjan ve Temizlik,05,0.0,0.0,0.0,0.0
ABC Matik Gül Tutkusu Çamaşır Deterjanı 6 Kg,299.9,3166,Deterjan ve Temizlik,05,0.0,0.0,0.0,0.0
ABC Matik Lavanta Tazeliği Çamaşır Deterjanı 6 Kg,299.9,3165,Deterjan ve Temizlik,05,,,,
ABC Misket Limonlu Bulaşık Deterjanı 4 Lt,199.9,3178,Deterjan ve Temizlik,05,0.0,0.0,0.0,0.0
Abc Narinler Sıvı Çamaşır Deterjanı 3 Lt,219.9,12884,Deterjan ve Temizlik,05,0.0,0.0,0.0,0.0
ABC Parfumia Büyüleyici Yasemin Konsantre Yumuşatıcı 1440 Ml,149.9,3175,Deterjan ve Temizlik,05,0.0,0.0,0.0,0.0
ABC Parfumia Gizemli Lotus Konsantre Yumuşatıcı 1440 Ml,149.9,3176,Deterjan ve Temizlik,05,0.0,0.0,0.0,
ABC Parfumia Romantik Gül Konsantre Yumuşatıcı 1440 Ml,149.9,3174,Deterjan ve Temizlik,05,0.0,0.0,0.0,0.0
ABC Parfumia Tutkulu Dahlia Konsantre Yumuşatıcı 1440 Ml,149.9,3177,Deterjan ve Temizlik,05,0.0,0.0,0.0,0.0
ABC Pembe Tutku Yüzey Tezmizleyicisi 2500 Ml,109.9,3183,Deterjan ve Temizlik,05,0.0,0.0,0.0,0.0
ABC Renkliler İçin Sıvı Çamaşır Deterjanı 3000 Ml,219.9,3167,Deterjan ve Temizlik,05,0.0,0.0,0.0,0.0
Abc Soda Etkili Toz Deterjan 600 Gr,59.9,12875,Deterjan ve Temizlik,05,0.0,0.0,0.0,0.0
ABC Soft Yumuşatıcı Frezya 5 Lt,199.9,3171,Deterjan ve Temizlik,05,0.0,0.0,0.0,0.0
ABC Ultra Çamaşır Suyu Bembeyaz 750 Ml,64.9,11833,Deterjan ve Temizlik,05,0.0,0.0,0.0,0.0
Ace Bahar Çamaşır Suyu 1 Lt,74.9,8805,Deterjan ve Temizlik,05,0.0,0.0,50.10020040080162,0.0
Ace Bahar Çamaşır Suyu 2 Lt,89.9,1203,Deterjan ve Temizlik,05,0.0,0.0,-25.0208507089241,-25.0208507089241
A.Lalin Disk Makyaj Pamuğu 70'li,44.95,6420,Kişisel Bakım,12,0.0,0.0,0.0,0.0
A.Lalin Hidrofil Pamuk 100 Gr,49.95,6419,Kişisel Bakım,12,0.0,0.0,0.0,0.0
A.Lalin Pamuklu Kulak Çubuk 100'lü,27.5,6421,Kişisel Bakım,12,0.0,0.0,0.0,0.0
A.Lalin Pamuklu Kulak Çubuk Kare 200'lü,44.95,6422,Kişisel Bakım,12,0.0,0.0,0.0,
"Activex Aktif Koruma Antibakteriyel Sıvı Sabun 1,5 Lt",199.95,9771,Kişisel Bakım,12,0.0,0.0,-33.32777592530844,-33.32777592530844
Activex Antibakteriyel Aktif Koruma Sıvı Sabun 500 Ml,119.9,11578,Kişisel Bakım,12,0.0,0.0,20.02002002002002,0.0
Activex Antibakteriyel Hassas Sıvı Sabun 500 Ml,119.9,11579,Kişisel Bakım,12,0.0,0.0,20.02002002002002,0.0
"Activex Hassas Koruma Antibakteriyel Sıvı Sabun 1,5 Lt",199.95,320,Kişisel Bakım,12,0.0,0.0,-33.32777592530844,-33.32777592530844
Alalin Bebek Kulak Çubuğu 60'lı,45.0,12704,Kişisel Bakım,12,0.0,0.0,0.0,
Arko Berber Tıraş Sabunu 75 Gr,99.9,9267,Kişisel Bakım,12,0.0,0.0,0.0,33.3244361403977
Arko Black Edition Tıraş Kolonyası 225 Ml,179.9,6917,Kişisel Bakım,12,0.0,0.0,5.854663136216544,41.17554735933454
Arko Gold Power Tıraş Kolonyası 225 Ml,179.9,1686,Kişisel Bakım,12,0.0,0.0,5.854663136216544,41.17554735933454
