url,name,price
https://www.watsons.com.tr/nyx-professional-makeup-lift-and-snatch-kas-kalemi-pen-black/p/BP_1275148,Nyx Professional Makeup Lift and Snatch Kaş Kalemi Pen Black,"1.049,90 ₺"
https://www.watsons.com.tr/restorex-sac-bakim-yagi-7-besleyici-80-ml/p/BP_1402394,Restorex Saç Bakım Yağı 7 Besleyici 80 ml,"419,90 ₺"
https://www.watsons.com.tr/himalaya-nane-tazeligi-dis-macunu-75-ml/p/BP_1340234,Himalaya Nane Tazeliği Diş Macunu 75 ml,"59,95 ₺"
https://www.watsons.com.tr/ogx-sampuan-rosemary-mint-385-ml/p/BP_1447376,OGX Şampuan Rosemary Mint 385 ml,"749,90 ₺"
https://www.watsons.com.tr/revolution-satin-kiss-dudak-kalemi-icon/p/BP_174119,Revolution Satin Kiss Dudak Kalemi Icon,"499,90 ₺"
https://www.watsons.com.tr/medicube-pdrn-pink-kolajen-gel-maske-1-adet/p/BP_1458772,Medicube PDRN Pink Kolajen Gel Maske 1 Adet,"779,90 ₺"
https://www.watsons.com.tr/pastel-oje-no-88/p/BP_116848,Pastel Oje No: 88,"119,90 ₺"
https://www.watsons.com.tr/slipstop-belle-tisort-kiz-bebek-18-24-ay/p/BP_1438997,N/A,N/A
https://www.watsons.com.tr/mov-tirnak-oje-matlastirici-jel/p/BP_1450001,Mov Tırnak Oje Matlaştırıcı Jel,"59,95 ₺"
https://www.watsons.com.tr/the-ceel-vitamin-c-serum-30-ml/p/BP_1422372,The Ceel Vitamin C Serum 30 ml,"612,90 ₺"
https://www.watsons.com.tr/golden-rose-mat-ruj-crayon-no-14/p/BP_152330,Golden Rose Mat Ruj Crayon No: 14,"364,90 ₺"
https://www.watsons.com.tr/arko-krem-yagli-20-cc/p/BP_129890,Arko Krem Yağlı 20 cc,"59,95 ₺"
https://www.watsons.com.tr/aqua-di-polo-1987-kadin-siyah-big-cat-eye-gunes-gozluk-apgt1-g4580-ksk33/p/BP_1381933,Aqua Di Polo 1987 Kadın Siyah Bıg Cat Eye Güneş Gözlük APGT1-G4580-KSK33,"399,90 ₺"
https://www.watsons.com.tr/naturals-by-watsons-sac-bakim-yagi-argan-100-ml/p/BP_1274343,N/A,N/A
https://www.watsons.com.tr/old-spice-epic-legend-stick-50-ml/p/BP_1435616,Old Spice Epic Legend Stick 50 ml,"346,90 ₺"
https://www.watsons.com.tr/sesu-hassas-vucut-agda-bandi-12-adet/p/BP_1459185,Sesu Hassas Vücut Ağda Bandı 12 Adet,"187,90 ₺"
https://www.watsons.com.tr/ashley-joy-durulanmayan-sac-bakim-kremi-150-ml/p/BP_1247120,Ashley Joy Durulanmayan Saç Bakım Kremi 150 ml,"649,90 ₺"
https://www.watsons.com.tr/max-factor-miracle-pure-fondoten-warm-almond-45/p/BP_1343755,Max Factor Miracle Pure Fondöten Warm Almond 45,"814,90 ₺"
https://www.watsons.com.tr/nivea-men-erkek-hassas-ciltler-icin-koruyucu-tiras-kopugu-200-ml/p/BP_119509,NIVEA MEN Erkek Hassas Ciltler için Koruyucu Tıraş Köpüğü 200 ml,"349,90 ₺"
https://www.watsons.com.tr/nyx-professional-makeup-soft-matte-smushy-dudak-balmi-squeeze-n-sizzle-11/p/BP_1430303,Nyx Professional Makeup Soft Matte Smushy Dudak Balmı Squeeze N' Sizzle 11,"699,90 ₺"
https://www.watsons.com.tr/nascita-ultrasonic-yuz-temizleme-cihazi/p/BP_1390830,Nascita Ultrasonic Yüz Temizleme Cihazı,"1.849,90 ₺"
https://www.watsons.com.tr/elseve-hydra-hyaluronic-72-saat-nem-ile-dolgunlastiran-maske-300-ml/p/BP_1328817,Elseve Hydra [Hyaluronic] 72 Saat Nem ile Dolgunlaştıran Maske 300 ml,"599,90 ₺"
https://www.watsons.com.tr/revolution-forever-flawless-far-paleti-allure/p/BP_172262,Revolution Forever Flawless Far Paleti Allure,"1.499,90 ₺"
https://www.watsons.com.tr/blade-man-edt-erkek-marine-fresh-70-ml/p/BP_1380785,N/A,N/A
https://www.watsons.com.tr/revox-sampuan-amino-asit-400-ml/p/BP_1476972,Revox Şampuan Amino Asit 400 ml,"529,90 ₺"
https://www.watsons.com.tr/golden-rose-dream-dudak-kalemi-no-537/p/BP_1433656,Golden Rose Dream Dudak Kalemi No: 537,"179,90 ₺"
https://www.watsons.com.tr/nascita-takma-tirnak-luxe-edition-s275/p/BP_1455846,Nascita Takma Tırnak Luxe Edition S275,"419,90 ₺"
https://www.watsons.com.tr/vita-ceel-sleep-gummy-60li/p/BP_1432242,Vita Ceel Sleep Gummy 60’lı,"689,90 ₺"
https://www.watsons.com.tr/watsons-fruity-sivilce-karsiti-cayagac-maske-30-ml/p/BP_1446025,Watsons Fruity Sivilce Karşıtı Çayağaç Maske 30 ml,"149,90 ₺"
https://www.watsons.com.tr/watsons-erkekler-icin-tuy-dokucu-sprey-150-ml/p/BP_170919,Watsons Erkekler İçin Tüy Dökücü Sprey 150 ml,"269,90 ₺"
https://www.watsons.com.tr/essence-maximum-definition-volume-maskara/p/BP_162833,Essence Maximum Definition Volume Maskara,"59,95 ₺"
https://www.watsons.com.tr/revolution-beauty-mystic-muse-shimmer-makyaj-seti/p/BP_1460214,Revolution Beauty Mystic Muse Shimmer Makyaj Seti,"3.990,90 ₺"
https://www.watsons.com.tr/banobagi-vita-cocktail-altin-maske-age-1-adet/p/BP_1458723,Banobagi Vita Cocktail Altın Maske Age 1 Adet,"279,90 ₺"
https://www.watsons.com.tr/maybelline-lash-sensitive-sky-high-plum-twilight-maskara/p/BP_1476811,Maybelline Lash Sensitive Sky High Plum Twilight Maskara,"1.449,90 ₺"
https://www.watsons.com.tr/lovely-extra-lasting-dudak-parlaticisi-no-5/p/BP_1255065,Lovely Extra Lasting Dudak Parlatıcısı No: 5,"414,90 ₺"
https://www.watsons.com.tr/rimmel-london-exaggerate-eyeliner-no-001-siyah/p/BP_1307698,Rimmel London Exaggerate Eyeliner No: 001 Siyah,"504,90 ₺"
https://www.watsons.com.tr/gillette-fusion-tiras-jeli-seyahat-boy-75-ml/p/BP_1380617,Gillette Fusion Tıraş Jeli Seyahat Boy 75 ml,"39,95 ₺"
https://www.watsons.com.tr/flormar-nail-enamel-yogun-pigmentli-parlak-oje-no-452-marine-lover/p/BP_141889,Flormar Nail Enamel Yoğun Pigmentli Parlak Oje No: 452 Marine Lover,"99,95 ₺"
https://www.watsons.com.tr/max-factor-miracle-pure-kapatici-no-4/p/BP_1333178,Max Factor Miracle Pure Kapatıcı No: 4,"499,90 ₺"
https://www.watsons.com.tr/fa-mystic-moments-kadin-deodorant-150-ml/p/BP_130076,Fa Mystic Moments Kadın Deodorant 150 ml,"59,95 ₺"
https://www.watsons.com.tr/golden-rose-so-glow-aydinlatici-far-paleti-no-102/p/BP_1381093,Golden Rose So Glow Aydınlatıcı Far Paleti No: 102,"859,90 ₺"
https://www.watsons.com.tr/tresan-the-earth-sac-kremi-collagen-biotin-500-ml/p/BP_1430534,N/A,N/A
https://www.watsons.com.tr/nivea-derma-control-defend-hyaluronik-asit-pro-vitamin-b5-erkek-roll-on-50-ml/p/BP_1459073,"Nivea Derma Control Defend Hyaluronik Asit, Pro-Vitamin B5 Erkek Roll On 50 ml","409,90 ₺"
https://www.watsons.com.tr/wella-professionals-fusion-yogun-onarici-sac-maskesi-150-ml/p/BP_1478715,Wella Professionals Fusion Yoğun Onarıcı Saç Maskesi 150 ml,"1.529,90 ₺"
https://www.watsons.com.tr/solait-yaslanma-karsiti-yuz-gunes-kremi-spf-50-50-ml/p/BP_152935,Solait Yaşlanma Karşıtı Yüz Güneş Kremi Spf 50+ 50 ml,"599,90 ₺"
https://www.watsons.com.tr/revolution-ultra-bronzer-medium/p/BP_1314859,Revolution Ultra Bronzer Medium,"814,90 ₺"
https://www.watsons.com.tr/wella-koleston-naturals-sac-boyasi-2-8-bogurtlen-siyahi/p/BP_122557,Wella Koleston Naturals Saç Boyası 2/8 Böğürtlen Siyahı,"249,90 ₺"
https://www.watsons.com.tr/axis-y-mini-glow-cilt-bakim-seti/p/BP_1419516,Axis-Y Mini Glow Cilt Bakım Seti,"699,90 ₺"
https://www.watsons.com.tr/ph-lab-anti-akne-30lu-maske-360-ml/p/BP_1461565,Ph Lab Anti Akne 30'lu Maske 360 ml,"1.219,90 ₺"
https://www.watsons.com.tr/bilge-ozturk-renkli-gunes-koruyucu-krem-beyaz-spf50-15-ml/p/BP_1355858,Bilge Öztürk Renkli Güneş Koruyucu Krem Beyaz Spf50 15 ml,"79,95 ₺"
https://www.watsons.com.tr/slipstop-aquatic-mayo-sort-6-7-yas-erkek-cocuk/p/BP_1439095,N/A,N/A
https://www.watsons.com.tr/flormar-color-shadow-stick-soft-cloud-no-001/p/BP_1398180,Flormar Color Shadow Stick Soft Cloud No: 001,"149,00 ₺"
https://www.watsons.com.tr/slipstop-40-41-numara-kadin-kaydirmaz-ayakkabi-rubin/p/BP_1320158,Slipstop 40-41 Numara Kadın Kaydırmaz Ayakkabı Rubin,"369,90 ₺"
https://www.watsons.com.tr/rochas-erkek-parfum-edt-100-ml/p/BP_112159,Rochas Erkek Parfüm EDT 100 ml,"4.299,90 ₺"
https://www.watsons.com.tr/avon-elite-gentleman-in-black-erkek-edt-75-ml/p/BP_1426040,Avon Elite Gentleman In Black Erkek EDT 75 ml,"789,90 ₺"
https://www.watsons.com.tr/slipstop-gru-sort-8-9-yas-erkek-cocuk/p/BP_1439347,N/A,N/A
https://www.watsons.com.tr/roberto-cavalli-uomo-erkek-parfum-edt-100-ml/p/BP_1409905,Roberto Cavalli Uomo Erkek Parfüm EDT 100 ml,"5.929,90 ₺"
https://www.watsons.com.tr/nascita-cift-tarafli-firca-acili-allik-aydinlatici/p/BP_1464764,Nascita Çift Taraflı Fırça Açılı Allık &amp; Aydınlatıcı,"579,90 ₺"
https://www.watsons.com.tr/christian-dior-hypnotic-poison-kadin-parfum-edp-100-ml/p/BP_1475712,Christian Dior Hypnotic Poison Kadın Parfüm EDP 100 ml,"8.899,90 ₺"
https://www.watsons.com.tr/palette-deluxe-sac-boyasi-7-0-kumral/p/BP_135372,Palette Deluxe Saç Boyası 7-0 Kumral,"449,90 ₺"
https://www.watsons.com.tr/unfilter-beauty-stick-allik-42-lush-pink/p/BP_1442679,Unfilter Beauty Stick Allık 42 Lush Pink,"299,90 ₺"
https://www.watsons.com.tr/toc-menstrual-kap-l/p/BP_1323455,N/A,N/A
https://www.watsons.com.tr/axis-y-leke-onleyici-ve-aydinlatici-tonik-125-ml/p/BP_1428308,Axis-Y Leke Önleyici ve Aydınlatıcı Tonik 125 ml,"2.199,90 ₺"
https://www.watsons.com.tr/volenia-kupe-altin-renkli-minimal-fiyonklu/p/BP_1452591,Volenia Küpe Altın Renkli Minimal Fiyonklu,"149,00 ₺"
https://www.watsons.com.tr/flormar-quick-dry-cabuk-kuruyan-parlak-oje-no-qd43/p/BP_1387365,Flormar Quick Dry Çabuk Kuruyan Parlak Oje No: QD43,"149,90 ₺"
https://www.watsons.com.tr/lovely-that-girl-lipstick-02/p/BP_1410990,N/A,N/A
https://www.watsons.com.tr/molped-hijyen-max-gece-ped-super-eko-14lu/p/BP_1484994,Molped Hijyen Max Gece Ped Süper Eko 14'lü,"295,90 ₺"
https://www.watsons.com.tr/nascita-takma-tirnak-renkli-leopar-24lu/p/BP_1350048,N/A,N/A
https://www.watsons.com.tr/slipstop-18-20-numara-ranger-kaydirmaz-ayakkabi-cocuk/p/BP_1399727,Slipstop 18-20 Numara Ranger Kaydırmaz Ayakkabı Çocuk,"299,90 ₺"
https://www.watsons.com.tr/nascita-ballerina-takma-tirnak-36li/p/BP_1446039,Nascita Ballerina Takma Tırnak 36'lı,"229,90 ₺"
https://www.watsons.com.tr/carnaval-yesil-pembe-mavi-cizgili-patik-corap-3lu/p/BP_1440726,N/A,N/A
https://www.watsons.com.tr/rexona-ustun-koruma-kadin-roll-on-deodorant-shower-fresh-72-saat-kesintisiz-koruma-50-ml/p/BP_135556,Rexona Üstün Koruma Kadın Roll On Deodorant Shower Fresh 72 Saat Kesintisiz Koruma 50 ml,"299,90 ₺"
https://www.watsons.com.tr/nyx-professional-makeup-powder-louder-pudrali-kas-kalemi-02-taupe/p/BP_1410283,N/A,N/A
https://www.watsons.com.tr/loreal-paris-excellence-sac-boyasi-ekstra-kullu-sari-811/p/BP_1268841,L'Oreal Paris Excellence Saç Boyası Ekstra Küllü Sarı 8.11,"556,90 ₺"
https://www.watsons.com.tr/aqua-di-polo-1987-st-tropez-nights-siyah-kadin-oval-gunes-gozlugu/p/BP_1435931,Aqua Di Polo 1987 St Tropez Nights Siyah Kadın Oval Güneş Gözlüğü,"399,90 ₺"
https://www.watsons.com.tr/ulric-de-varens-romance-oh-paris-kadin-edp-50-ml/p/BP_1406972,N/A,N/A
https://www.watsons.com.tr/maybelline-new-york-super-stay-lumi-matte-fondoten-no-132/p/BP_1425074,Maybelline New York Super Stay Lumi Matte Fondöten No: 132,"399,00 ₺"
https://www.watsons.com.tr/urban-care-argan-yagi-keratin-besleyici-ve-kirilma-karsiti-sac-bakim-kremi-250-ml/p/BP_1478169,Urban Care Argan Yağı &amp; Keratin Besleyici ve Kırılma Karşıtı Saç Bakım Kremi 250 ml,"399,90 ₺"
https://www.watsons.com.tr/pastel-duo-blush-set-cheek-to-cheek-ikili-allik-seti-10-hot-pink/p/BP_1305052,Pastel Duo Blush Set Cheek To Cheek İkili Allık Seti 10 Hot Pink,"689,90 ₺"
https://www.watsons.com.tr/i-heart-revolution-watermelon-eyeliner-waterproof/p/BP_1296253,I Heart Revolution Watermelon Eyeliner Waterproof,"199,00 ₺"
