product-name,product-price,shown_price,id,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Nyx Professional Makeup Simpsons Koleksiyonu Mega Glue Şeffaf Kaş ve Saç Sabitleyici,1149.9,1149.9,Nyx Professional Makeup Simpsons Koleksiyonu Mega Glue Şeffaf Kaş ve Saç Sabitleyici,12,0.0,,,
Nyx Professional Makeup Make em Wonder Fondöten 04 Cool Porcelain,999.9,999.9,Nyx Professional Makeup Make em Wonder Fondöten 04 Cool Porcelain,12,0.0,0.0,0.0,
Flormar Sheer Up Ruj No: 015 Go For Bordeaux,869.9,869.9,Flormar Sheer Up Ruj No: 015 Go For Bordeaux,12,0.0,0.0,,
Revolution Reloaded Far Paleti Provocative,934.9,934.9,Revolution Reloaded Far Paleti Provocative,12,0.0,0.0,0.0,
Nyx Professional Makeup Butter Gloss Dudak Parlatıcısı Madeleine,749.9,749.9,Nyx Professional Makeup Butter Gloss Dudak Parlatıcısı Madeleine,12,0.0,0.0,0.0,
Note Bb Kapatıcı No: 02,899.9,899.9,Note Bb Kapatıcı No: 02,12,0.0,,0.0,
Avon True Dudak Bakım Yağı Blossom,349.9,349.9,Avon True Dudak Bakım Yağı Blossom,12,0.0,0.0,0.0,
Flormar Stay Perfect Yoğun Pigmentli Likit Kapatıcı 002 Light,1049.9,1049.9,Flormar Stay Perfect Yoğun Pigmentli Likit Kapatıcı 002 Light,12,0.0,0.0,0.0,
L'Oreal Paris Lumi Blush Yoğun Pigmentli ve Işıltılı Likit Allık Glowy True Rose,999.9,999.9,L'Oreal Paris Lumi Blush Yoğun Pigmentli ve Işıltılı Likit Allık Glowy True Rose,12,0.0,,0.0,
Maybelline New York Lasting Drama Eyeliner Mat Siyah,1089.9,1089.9,Maybelline New York Lasting Drama Eyeliner Mat Siyah,12,0.0,0.0,0.0,
Maybelline New York Lifter Niasinamid ve Hyalüronik Asit İçeren Aydınlatan Fondöten 110,1299.9,1299.9,Maybelline New York Lifter Niasinamid ve Hyalüronik Asit İçeren Aydınlatan Fondöten 110,12,0.0,0.0,0.0,
Flormar Baked BlushOn Yoğun Pigmentli Fırınlanmış Allık No: 040,1049.9,1049.9,Flormar Baked BlushOn Yoğun Pigmentli Fırınlanmış Allık No: 040,12,0.0,0.0,0.0,
L'Oreal Paris True Match Bakım Yapan Fondöten 3N Nötr Alt Ton,1699.9,1699.9,L'Oreal Paris True Match Bakım Yapan Fondöten 3N Nötr Alt Ton,12,0.0,0.0,0.0,
