name,price,shown_price,id,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Mia Klinika 72 Saat Etkili Su Bazlı Yoğun Nemlendirici Krem 50 ml,814.9,814.9,Mia Klinika 72 Saat Etkili Su Bazlı Yoğun Nemlendirici Krem 50 ml,12,0.0,0.0,,
Nivea Skin Glow Aydınlatıcı Yüz Temizleme Jeli 150 ml,459.9,459.9,Nivea Skin Glow Aydınlatıcı Yüz Temizleme Jeli 150 ml,12,0.0,0.0,,
RoC Yüz Temizleme Köpüğü 150 ml,1599.9,1599.9,RoC Yüz Temizleme Köpüğü 150 ml,12,0.0,0.0,,
Clasy Care Working Hands El Kremi 100 ml,599.9,599.9,Clasy Care Working Hands El Kremi 100 ml,12,0.0,0.0,,
Nivea Besleyici Vücut Sütü 400 ml Kuru ve Çok Kuru Ciltler 48 Saat Nemlendirici E Vitamini ve Badem Yağı,534.9,534.9,Nivea Besleyici Vücut Sütü 400 ml Kuru ve Çok Kuru Ciltler 48 Saat Nemlendirici E Vitamini ve Badem Yağı,12,0.0,0.0,,
The Purest Solutions Hydra Serum Fondöten Light 30 ml,1099.9,1099.9,The Purest Solutions Hydra Serum Fondöten Light 30 ml,12,0.0,0.0,,
L'Oreal Paris Revitalift Lazer Eyebag Instant Eraser Göz Altı Torba Görünümüne Karşı Etkili Göz Kremi 15 ml,1349.9,1349.9,L'Oreal Paris Revitalift Lazer Eyebag Instant Eraser Göz Altı Torba Görünümüne Karşı Etkili Göz Kremi 15 ml,12,0.0,0.0,,
Gülbirlik Rosense Gülsuyu 250 ml,379.9,379.9,Gülbirlik Rosense Gülsuyu 250 ml,12,0.0,0.0,,
Frudia Air Snowy Dengeleyici Maske 25 ml,134.9,134.9,Frudia Air Snowy Dengeleyici Maske 25 ml,12,0.0,0.0,,
Ph Lab Anti Akne Temizleme Bar 50 ml,819.9,819.9,Ph Lab Anti Akne Temizleme Bar 50 ml,12,0.0,0.0,,
L'Oreal Paris Yaş Uzmanı Kırışıklık Karşıtı Yenileyici Krem 50+ 50 ml,779.9,779.9,L'Oreal Paris Yaş Uzmanı Kırışıklık Karşıtı Yenileyici Krem 50+ 50 ml,12,0.0,0.0,,
Bepanthol Derma Yüz Bakım Kremi Nemlendirici ve Besleyici Spf 25 50 ml,899.9,899.9,Bepanthol Derma Yüz Bakım Kremi Nemlendirici ve Besleyici Spf 25 50 ml,12,0.0,0.0,,
Vaseline Nemlendirici Jel Original 100 ml,342.9,342.9,Vaseline Nemlendirici Jel Original 100 ml,12,0.0,0.0,,
Frudia Blueberry Nemlendirici Krem 55 g,1809.9,1809.9,Frudia Blueberry Nemlendirici Krem 55 g,12,0.0,0.0,,
Dermafactory Kırışıklık Karştı Peptit Bakım Serum 30 ml,2199.9,2199.9,Dermafactory Kırışıklık Karştı Peptit Bakım Serum 30 ml,12,0.0,0.0,,
L'Oreal Paris Bright Reveal SPF50+ Koyu Leke Karşıtı Günlük Yüz Güneş Koruyucu 50ml,1359.9,1359.9,L'Oreal Paris Bright Reveal SPF50+ Koyu Leke Karşıtı Günlük Yüz Güneş Koruyucu 50ml,12,0.0,,,
