District,Rooms,Price
Merkez / Karşıyaka,3+1,26500.0
Merkez,2+1,20000.0
Merkez,3+1,25000.0
Merkez,1+1,20000.0
Merkez / Köyler,4+1,36000.0
Merkez / Karşıyaka,3+1,22000.0
Merkez,3+1,20000.0
Merkez / Karşıyaka,3+1,26900.0
Merkez / Karşıyaka,4.5+1,37500.0
Merkez,1+1,24000.0
Merkez,2+0,20500.0
Merkez,1+1,30000.0
Merkez,3+1,22000.0
Merkez,4+1,37500.0
Merkez,3+1,24500.0
Merkez,2+1,22000.0
Merkez / Karşıyaka,2+0,25000.0
Merkez,4+1,27000.0
Merkez,3+1,25000.0
Merkez,3+1,28000.0
Zile,3+1,23000.0
Erbaa,2+1,20000.0
Merkez,4+1,35000.0
Merkez / Perakende,3+1,21000.0
Merkez,1+1,24000.0
Erbaa,3+1,20000.0
Merkez,3+1,20000.0
Zile,2+1,27000.0
Merkez,3+1,21750.0
Merkez,2+1,22000.0
Merkez / Karşıyaka,3+1,23000.0
Merkez / Köyler,5+1,25000.0
Merkez / Karşıyaka,3+1,21500.0
Merkez,3+1,30000.0
Merkez / Karşıyaka,4.5+1,37000.0
Merkez / Karşıyaka,3+1,25000.0
Merkez,3+1,26500.0
Merkez,3+1,26000.0
Merkez / Karşıyaka,4.5+1,37000.0
Merkez,3+1,22250.0
Merkez,3+1,21000.0
Merkez,2+1,20000.0
Erbaa,2+0,25000.0
Turhal,3+1,20000.0
Merkez / Köyler,4+1,24000.0
Merkez,2+0,23000.0
Merkez,1+1,21000.0
Erbaa,2+1,20000.0
Merkez,2+1,21000.0
Merkez,4+1,32000.0
Erbaa,3+1,21000.0
Merkez,3+1,25000.0
Merkez / Perakende,3+1,25000.0
